"world rank","city","country","city           population","metro           population","mayor"
"447","antananarivo","madagascar","903000","1403000","n/k"
"461","lilongwe","malawi","866000","","n/k"
"157","kuala lumpur","malaysia","1810000","5470000","dato ahmed fuad ismail"
"158","bamako","mali","1809000","","adama b. sangar&eacute;"
"14","mexico city","mexico","8841000","21163000","marcelo ebrard"
"137","monterrey","mexico","2057000","3650000","fernando larrazabal"
"150","puebla","mexico","1888000","2500000","blanca alcala ruiz"
"178","ecatepec","mexico","1688000","1690000","eruviel &aacute;vila villegas"
"198","guadalajara","mexico","1580000","3600000","jorge aristoteles sandoval"
"222","tijuana","mexico","1484000","1500000","carlos bustamante"
"255","ciudad juarez","mexico","1400000","2010000","jos&eacute; reyes ferriz"
"345","zapopan","mexico","1155000","1200000","hector vielma ordo&ntilde;ez"
"346","nezahualcoyotl","mexico","1141000","1150000","edgar ces&aacute;reo navarro s&aacute;nchez"
"349","leon","mexico","1138000","1635000","ricardo sheffield"
"410","torreon","mexico","1001000","","eduardo olmos castro"
"411","mexicali","mexico","1000000","1000000","n/k"
"478","naucalpan","mexico","822000","835000","azucena olivares villag&oacute;mez"
"494","santiago de queretaro","mexico","805000","1085000","francisco dom&iacute;nguez servien"
"505","toluca","mexico","785000","1650000","maria elena barrera tapia"
"525","merida","mexico","734000","890000","c&eacute;sar boj&oacute;rquez zapata"
"529","acapulco","mexico","718000","880000","manuel a&ntilde;orve bola&ntilde;os"
"540","chihuahua","mexico","694000","825000","n/k"
"544","san luis potosi","mexico","685000","957000","jorge lozano armengol"
"545","tlalnepantla de baz","mexico","685000","800000","arturo ugalde meneses"
"558","aguascalientes","mexico","664000","701000","gabriel arellano espinoza"
"582","culiacan","mexico","567000","766000","n/k"
"n/r","matamoros","mexico","370000","780000","n/k"
"n/r","tampico","mexico","319000","775000","n/k"
"504","chisinau","moldova","785000","911000","dorin chirtoaca"
"364","ulaanbaatar","mongolia","1108000","","n/k"
"58","casablanca","morocco","3673000","3850000","mohammed sajid"
"380","marrakech","morocco","1071000","","n/k"
"405","fes","morocco","1009000","","n/k"
"432","safi","morocco","933000","","n/k"
"438","fez","morocco","921000","921000","n/k"
"446","sal&eacute;","morocco","904000","","n/k"
"536","tangier","morocco","710000","","n/k"
"564","rabat","morocco","627000","1790000","omar el bahraoui"
"313","maputo","mozambique","1244000","1640000","david simango"
"47","yangon","myanmar (burma)","4468000","5.500000","aung thein lynn"
"425","mandalay","myanmar (burma)","961000","1300000","phone zaw han"
"430","kathmandu","nepal","949000","1700000","n/k"
"515","amsterdam","netherlands","762000","1536000","eberhard van der laan"
"572","rotterdam","netherlands","590000","1187000","ahmed aboutaleb"
"n/r","the hague","netherlands","486000","1011000","van aartsen"
"n/r","einhoven","netherlands","212000","440000","r van gijzel"
"n/r","auckland","new zealand","428000","1333000","len brown"
"332","managua","nicaragua","1185000","1342000","daisy torres"
"20","lagos","nigeria","7938000","9123000","n/k"
"62","kano","nigeria","3626000","3900000","ibrahim shekarau"
"94","port harcourt","nigeria","2667000","3761000","azubuike nmerukini"
"102","ibadan","nigeria","2550000","3000000","adebayo alao-akala"
"229","kaduna","nigeria","1460000","1500000","mohammed namadi sambo"
"324","maiduguri","nigeria","1200000","1200000","n/k"
"389","benin","nigeria","1051000","1052000","n/k"
"450","zaria","nigeria","898000","","n/k"
