"platform","developer","game title","units sold        (in millions)"
"xbox 360","2k games","elder scrolls iv: oblivion","1.49"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"psx","acclaim","wwe warzone","2.20"
"n64","acclaim","turok 2: seeds of evil","1.14"
"gen","acclaim","nba jam","1.93"
"gen","acclaim","mortal kombat 2","1.78"
"gen","acclaim","mortal kombat 3","1.02"
"snes","acclaim","mortal kombat 2","1.51"
"snes","acclaim","mortal kombat 3","1.22"
"snes","acclaim","nba jam","1.22"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"psx","activision","tony hawk's pro skater","3.02"
"psx","activision","tony hawk's pro skater 2","2.85"
"psx","activision","tony hawk's pro skater 3","2.01"
"psx","activision","spider-man","1.55"
"n64","activision","tony hawk's pro skater","1.61"
"ps2","activision","tony hawk's pro skater 3","2.07"
"ps2","activision","spider-man: the movie","2.51"
"ps2","activision","tony hawk underground","2.11"
"ps2","activision","tony hawk underground 2","1.30"
"ps2","activision","tony hawk's pro skater 4","1.22"
"ps2","activision","true crime: streets of la","1.76"
"ps2","activision","spider-man: the movie 2","1.63"
"ps2","activision","guitar hero","1.53"
"ps2","activision","guitar hero ii","3.31"
"ps2","activision","guitar hero iii: legends of rock","1.94"
"ps2","activision","call of duty: finest hour","1.41"
"ps2","activision","shrek 2","1.00"
"xbox","activision","call of duty 2","1.39"
"xbox 360","activision","guitar hero ii","1.46"
"xbox 360","activision","marvel: ultimate alliance","2.08"
"xbox 360","activision","call of duty 3","1.22"
"xbox 360","activision","call of duty 4: modern warfare","1.89"
"xbox 360","activision","guitar hero iii: legends of rock","1.32"
"wii","activision","guitar hero iii: legends of rock","1.00"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"psx","atari","frogger","3.37"
"psx","atari","driver","3.22"
"psx","atari","driver 2","2.55"
"psx","atari","monopoly","1.19"
"psx","atari","test drive 5","1.08"
"ps2","atari","dragon ball z: budokai","2.04"
"ps2","atari","dragon ball z: budokai 2","1.50"
"ps2","atari","dragon ball z: budokai 3","1.14"
"ps2","atari","enter the matrix","1.34"
"gba","atari","dragon ball z: the legacy of goku","1.40"
