"Wikipage page ID","Wikipage revision ID","label"
"1516229","679047781","External jugular vein"
"","","Internal thoracic vein"
"","","Anterior cardiac veins"
"2297376","608969207","Basilic vein"
"","","External vertebral venous plexuses"
"","","Internal vertebral venous plexuses"
"","","وريد معدي ثربي أيمن"
"","","وريدان أجوفان"
"","","Vena thoracica lateralis"
"","","Venas dorsales superficiales del clítoris"
"1580594","671915687","Renal vein"
"6040806","656124687","وريد مبيضي"
"5616724","657018439","وريد رأسي إضافي"
"","","وريد مخي"
"","","Internal cerebral veins"
"","","Median antebrachial vein"
"","","Plantar digital veins"
"","","وريد قولوني أوسط"
"","","وريد قولوني أيمن"
"","","Anterior intercostal veins"
