"Wikipage page ID","Wikipage revision ID","label"
"40545892","573267659","Bagaman Island"
"","","Balabac Island"
"39075983","655483749","巴林坦群島"
"","","Baluan Island"
"","","Banaba Island"
"","","Banda Islands"
"12882085","638849052","Banggai"
"","","Bangka Island"
"","","Banksia Creek (Queensland)"
"","","Bantayan Island"
"","","Barber Island"
"","","Bare Island (New South Wales)"
"","","Barrow Island (Western Australia)"
"","","Basilaki Island"
"","","Batan Island"
"","","Bathurst Island (Northern Territory)"
"","","Bawean"
"","","Bayonnaise Rocks"
"","","Beanley Island"
"","","Tierra de Belaya"
