"Wikipage revision ID","label","Wikipage page ID"
"637354223","RusVelo (Frauenteam)","41566231"
"653433848","Team Rytger","46216877"
"","Movistar Team",""
"","Amica Chips-Knauf",""
"","S.L. Benfica (cycling team)",""
"","Competitive Cyclist Racing Team",""
"","Bank BGŻ Professional Cycling Team",""
"683213059","Caja Rural-Seguros RGA","29027313"
"682791778","Christina Watches-Kuma","30313317"
"677228555","Cult Energy Pro Cycling","33178639"
"676637133","Cyclingteam Jo Piels","30169265"
"","Drapac Professional Cycling",""
"668010733","Movistar Continental Team","32306508"
"","Orica-GreenEDGE",""
"","Perutnina Ptuj",""
"674526091","Riwal Platform Cycling Team","32420587"
"","Team IG-Sigma Sport",""
"","Raleigh-GAC",""
"","Preti Mangimi",""
"670273420","Inpa Sottoli Giusfredi","44752756"
