"Link from a Wikipage to an external page","label","Wikipage revision ID","Wikipage page ID"
"http://www.iihf.com/home-of-hockey/championships/olympics.html","Ice hockey at the 2018 Winter Olympics – Women's tournament","683004726","47561793"
"http://www.tournamentsoftware.com/sport/draw.aspx?id=A85F895E-C318-4C51-90F2-AD24E8106154&draw=3","Badminton at the 2000 Summer Olympics – Men's doubles","674630158","47426142"
"http://www.tournamentsoftware.com/sport/draw.aspx?id=A85F895E-C318-4C51-90F2-AD24E8106154&draw=1","Badminton at the 2000 Summer Olympics – Men's singles","679538469","47426096"
"http://www.tournamentsoftware.com/sport/draw.aspx?id=A85F895E-C318-4C51-90F2-AD24E8106154&draw=5","Badminton at the 2000 Summer Olympics – Mixed doubles","674630168","47426191"
"http://www.tournamentsoftware.com/sport/draw.aspx?id=A85F895E-C318-4C51-90F2-AD24E8106154&draw=4","Badminton at the 2000 Summer Olympics – Women's doubles","674630173","47426168"
"http://www.tournamentsoftware.com/sport/draw.aspx?id=A85F895E-C318-4C51-90F2-AD24E8106154&draw=2","Badminton at the 2000 Summer Olympics – Women's singles","675377533","47426124"
"","Rowing at the 1980 Summer Olympics – Men's coxless pairs","682944786","47939772"
"","Rowing at the 1980 Summer Olympics – Women's single sculls","682944847","47940183"
"http://www.sailing.org/events/youtholympicgames/results/index.php?rgtaid=13407&evntid=33307&view=fleetevent#results__13407","Sailing at the 2014 Summer Youth Olympics – Girls' Byte CII","672331234","47291333"
"","Ice hockey at the 2016 Winter Youth Olympics","",""
"","Shooting at the 1976 Summer Olympics – Mixed 25 metre rapid fire pistol","674254401","47352548"
"","Shooting at the 1976 Summer Olympics – Mixed 50 metre free pistol","673864318","47363121"
"","Shooting at the 1976 Summer Olympics – Mixed 50 metre rifle, prone","675948644","47363330"
"","Shooting at the 1976 Summer Olympics – Mixed 50 metre rifle three positions","675291468","47363230"
"","Shooting at the 1976 Summer Olympics – Mixed 50 metre running target","673776105","47363547"
"","Shooting at the 1976 Summer Olympics – Mixed skeet","673775810","47363450"
"","Shooting at the 1980 Summer Olympics – Mixed 50 metre rifle three positions","673454804","47338582"
"http://www.la84foundation.org/6oic/OfficialReports/1988/1988v2pt2.pdf","Weightlifting at the 1988 Summer Olympics – Men's +110 kg","678245229","47639949"
"","Weightlifting at the 1988 Summer Olympics – Men's 52 kg","677588756","47608718"
"","Weightlifting at the 1988 Summer Olympics – Men's 56 kg","678677751","47668483"
