"Wikipage revision ID","label","Wikipage page ID","Link from a Wikipage to an external page"
"626959666","Isoetes valida","14806626","http://www.wikiplants.com/wiki/Strong_Quillwort_Isoetes_valida__Engelm__Clute.ashx"
"368149387","Selaginella umbrosa","27718000","http://data.gbif.org/species/15858832/"
"","Lycopodium deuterodensum","24443746",""
"564737007","Huperzia crassa","39974917",""
"","Isoetales","",""
"667349966","Leclercqia (Pflanze)","13664954",""
"","Unechte Rose von Jericho","",""
"","Huperzia nutans","",""
"","Baragwanathia","",""
"624499349","Brasilodendron","37387834",""
"624499502","Cyclodendron","37534234",""
"664147311","Isoetes howellii","23713712","http://calphotos.berkeley.edu/cgi/img_query?query_src=photos_index&where-taxon=Isoetes+howellii"
"","Isoetes nuttallii","23713756",""
"545655216","二形卷柏","23237404",""
"663587545","西伯利亚卷柏","46775658",""
"","Selaginella bifida","",""
"677066919","Dendrolycopodium","29209937",""
"","Isoetes maritima","",""
"559464167","Selaginella bigelovii","28038589","http://plants.usda.gov/java/profile?symbol=SEBI"
"559464650","Selaginella hansenii","28040942","http://plants.usda.gov/java/profile?symbol=SEHA2"
