"label","Wikipage page ID","Wikipage revision ID"
"Hardy Bridge","38321711","661166991"
"High Bridge (New York City)","",""
"Highland Park Bridge","",""
"Hill to Hill Bridge","",""
"Hite Crossing Bridge","",""
"Hope Memorial Bridge","",""
"I Street Bridge","",""
"Dollis Brook Viaduct","",""
"Innerbelt Bridge","",""
"Jackson Street Bridge","",""
"Jibboom Street Bridge","",""
"John W. Weeks Bridge","",""
"جسر ايراسموس","",""
"Kinzua Bridge","",""
"Ledyard Bridge","",""
"Lewis and Clark Bridge (Columbia River)","",""
"Lewis and Clark River Bridge","",""
"Lewiston–Queenston Bridge","",""
"Liberty Bridge (Pittsburgh)","",""
"London Bridge (Lake Havasu City)","",""
