"Wikipage revision ID","Wikipage page ID","Link from a Wikipage to an external page","label"
"672228267","47278519","http://www.schloss-buetzow.de/","Schloss Bützow"
"682521982","47897286","","Brahelinna"
"678350177","47597624","","Castellazzo di Camastra"
"","47879299","","Castello della Pietra d'Amico"
"","","","Castello di Agrigento"
"","47597358","","Castello di Barrugeri"
"","","","Bifar"
"","47878587","","Castello di Bivona"
"678350531","47588791","","Castello di Terra"
"","","","Castello di Villagonia"
"682352975","47896996","","Fjällnäs Castle"
"683487037","47945121","","Fort Merensky"
"682518990","47906673","","Pärnu Castle"
"","","","Maglič"
"","","","Château Saint-Aubin"
"","","","Château Villette"
"","","","Burg Landsberg (Elsass)"
"","","","Burg Falkenstein (Harz)"
"625772308","23511876","","Burg Falkenstein (Obervellach)"
"","","","Flint Castle"
