"Caption","GraySubject","Nerve","origin","Latin","Wikipage page ID","Wikipage revision ID","label","GrayPage","image"
"Axillary arch highlighted in red.","121","http://dbpedia.org/resource/Lateral_pectoral_nerve","http://dbpedia.org/resource/Latissimus_dorsi_muscle","Arcus axillaris","47848912","683907383","Axillary Arch","434","Grant_1962_27c.png"
"","249","","","Musculus rectococcygeus","47961772","683897007","Rectococcygeal muscle","1186",""
"","","","","","","","Cremaster muscle","",""
"","","","","","575531","681487180","Deltoid muscle","",""
"","","","","","","","Tensor fasciae latae muscle","",""
"","","","","","","","Tibialis anterior muscle","",""
"","","","","","","","Lateral rotator group","",""
"","","","","","","","Deep transverse perineal muscle","",""
"","","","","","","","Superficial transverse perineal muscle","",""
"","","","","","","","Digastric muscle","",""
"","","","","","","","Subclavius muscle","",""
"","","","","","","","Triceps brachii muscle","",""
"","","","","","","","External intercostal muscles","",""
"","","","","","26758739","","Levator claviculae muscle","",""
"","","","","","","","Semispinalis cervicis","",""
"","","","","","","","Antitragicus","",""
"","","","","","","","Helicis major","",""
"","","","","","","","Helicis minor","",""
"","","","","","","","Tragicus","",""
"","","","","","","","Transverse muscle of auricle","",""
