"label","Wikipage page ID"
"温泉幼精ハコネちゃん","47125120"
"Sansha San'yō","47747545"
"The Action Bible","47350159"
"The Strange Talent of Luther Strode","47122878"
"2001 Nights",""
"Adachi-ga Hara",""
"Adventure Comics",""
"Age of Apocalypse",""
"Akira (manga)",""
"Alec the Great",""
"Arakawa under the Bridge",""
"Ascension (comics)",""
"Mila Superstar",""
"Backbench (comics)","1872554"
"Basara (manga)",""
"Batman: Legends of the Dark Knight","852807"
"Batman: Nine Lives","4455674"
"Batman: The Dark Knight","11368350"
"Batman (comic book)",""
"Battle B-Daman",""
