"label","Sterbeort"
"Marian Dawson","http://dbpedia.org/resource/Scarborough,_North_Yorkshire"
"Mauritz Hugo","http://dbpedia.org/resource/Los_Angeles"
"魏焌皓",""
"Nina Francis",""
"林熹瞳",""
"Rob Piper",""
"Stephanie E. Williams",""
"Warwick Buckland","http://dbpedia.org/resource/United_Kingdom"
"Yoshitaka Yamaya",""
"يويتشيرو أوميهارا",""
"Yūka Aisaka",""
"田中あいみ",""
"Astrid Bodin","http://dbpedia.org/resource/Stockholm"
"袁嘉敏",""
"Carole Franck",""
"Chuck Vincent (director)",""
"Corey Norman (director)",""
"Graham Armitage","http://dbpedia.org/resource/Johannesburg"
"",""
"Jean-Jacques Delbo","http://dbpedia.org/resource/Nice"
