"Geburtsort","birth place","label"
"http://dbpedia.org/resource/Lugano","http://dbpedia.org/resource/Lugano","Stefano Comini"
"","","Vytautas Švedas"
"","","Zaid Ashkanani"
"","","Bob Wilder"
"","http://dbpedia.org/resource/Ontario","Cole Pearn"
"http://dbpedia.org/resource/Hong_Kong","http://dbpedia.org/resource/Hong_Kong","Frank Yu"
"http://dbpedia.org/resource/Switzerland","","Franz Hammernick"
"http://dbpedia.org/resource/China","","Guanyu Zhou"
"http://dbpedia.org/resource/Kiev","","Ihor Skuz"
"http://dbpedia.org/resource/Rivoli,_Piedmont","","Lorenzo Veglia"
"http://dbpedia.org/resource/Russia","","Nikita Misiulia"
"http://dbpedia.org/resource/Budapest","","Norbert Nagy"
"http://dbpedia.org/resource/São_Paulo","http://dbpedia.org/resource/São_Paulo","パウロ・カーカッシ"
"http://dbpedia.org/resource/Kuala_Lumpur","","Rahul Raj Mayer"
"","","Sherwood Johnston"
"http://dbpedia.org/resource/Hong_Kong","http://dbpedia.org/resource/Hong_Kong","Andy Yan"
"http://dbpedia.org/resource/Italy","","Antonio d'Amico"
"","","Augie Pabst, III"
"http://dbpedia.org/resource/Scotland","","Barry Horne (racing driver)"
"http://dbpedia.org/resource/Boca_Raton,_Florida","http://dbpedia.org/resource/Boca_Raton,_Florida","Dalton Sargeant"
