"label","Geburtsdatum","Geburtsort","birth place"
"オースティン・マテルソン","1985-03-10","http://dbpedia.org/resource/Woodland_Hills,_Los_Angeles","http://dbpedia.org/resource/Woodland_Hills,_Los_Angeles"
"Bobby Sharp","1988-09-10","http://dbpedia.org/resource/Edmonton","Edmonton, Alberta, Canada"
"Dasha Fuentes","","http://dbpedia.org/resource/Florida",""
"Despina Montagas","1961-06-09","http://dbpedia.org/resource/Athens","http://dbpedia.org/resource/Athens"
"Dusty Wolfe","1962-07-18","http://dbpedia.org/resource/Hamilton,_Ontario",""
"Firpo Segura","","",""
"Groon XXX","","http://dbpedia.org/resource/Baja_California",""
"Ian Riccaboni","1987-01-13","http://dbpedia.org/resource/Allentown,_Pennsylvania","http://dbpedia.org/resource/Allentown,_Pennsylvania"
"Jason Jordan (wrestler)","","http://dbpedia.org/resource/Illinois","Chicago, Illinois, U.S."
"Liam Slater","1993-10-07","",""
"Marcin Jurecki","","",""
"Matt Myers (Wrestler)","1991-06-16","",""
"Nat Turner (wrestler)","","",""
"Ranjin Singh (wrestling)","","",""
"Tony Rivera","","http://dbpedia.org/resource/Baja_California",""
"Trevor Lee (wrestler)","1993-09-30","http://dbpedia.org/resource/Cameron,_North_Carolina","http://dbpedia.org/resource/Cameron,_North_Carolina"
"Violencia","","http://dbpedia.org/resource/Matamoros,_Tamaulipas","http://dbpedia.org/resource/Matamoros,_Tamaulipas"
"Will Ferrara","","http://dbpedia.org/resource/New_York","http://dbpedia.org/resource/New_York"
"Younes Sarmasti","","","Malekan, Iran"
""Dr. Death" Steve Williams","","",""
