"Wikipage page ID","Wikipage revision ID","label"
"47495009","677150139","Ulmus aff. 'Plotii'"
"","","Bloomer potato"
"410720","683187611","Brussels sprout"
"","","Discovery (Apfel)"
"","","Empire (Apfel)"
"","","Haden (mango)"
"","","Jazz (apple)"
"571106","683292460","Kale"
"","","Kerr's Pink"
"","","Rosa 'Alain'"
"","","Saba banana"
"","","Tillandsia 'Comet'"
"","","Ulmus 'Willis'"
"","","Ulmus americana 'Independence'"
"","","Ulmus davidiana var. japonica 'Discovery'"
"","","Aechmea 'Foster's Favorite Favorite'"
"38326294","607825949","Buddleja 'Hinebud 3' = Angel White"
"","","Buddleja davidii 'Concord'"
"","","Neoregelia 'Beau'"
"","","Tillandsia 'Wildfire'"
