"Wikipage page ID","Wikipage revision ID","label"
"47211974","683402031","Rubricacaecilia"
"","","African dwarf frog"
"12373531","678905765","Litoria napaea"
"","","True toad"
"3739733","540564687","Anodonthyla"
"","","Brachydectes"
"12357838","544872481","Cardioglossa venusta"
"","","Centrolene fernandoi"
"12398352","541494556","Chiasmocleis centralis"
"12384903","672997384","Eleutherodactylus bilineatus"
"5320718","675436339","Eogyrinus"
"12364243","548031055","Hypogeophis rostratus"
"12176608","609163745","Goldstreifen-Salamander"
"12382222","541652910","Hyperolius orkarkarri"
"12382594","551463084","Leptopelis crystallinoron"
"12374065","544874039","Phyllomedusa coelestis"
"12411690","655018062","Pseudophilautus temporalis"
"4822094","679296952","Rhinella chavin"
"12399540","541494751","Scaphiophryne madagascariensis"
"12375898","544873180","Scinax centralis"
