"Link from a Wikipage to an external page","Wikipage revision ID","series","year","Wikipage page ID","label"
"http://www.rally.com.au/","683132321","Australian Rally Championship","2015","46306198","2015 Australian Rally Championship season"
"http://www.breidablik.is/knattspyrna","682477227","","","45666271","2015 Breiðablik UBK season"
"http://www.britishsuperbike.com","682118682","","","46355357","2015 British Superbike Championship season"
"http://www.britishsuperbike.com/support/2015/motorpoint-british-supersport-championship.aspx","682246336","","","46464313","2015 British Supersport Championship season"
"http://www.clubgaa.ie/cavan/index.htm","683737325","","","46262073","2015 Cavan Intermediate Football Championship"
"http://www.clubgaa.ie/cavan/index.htm","683681485","","","46583985","2015 Cavan Junior Football Championship"
"http://www.clubgaa.ie/cavan/index.htm","683961750","","","46261802","2015 Cavan Senior Football Championship"
"http://cavangaa.ie/","683678582","","","47998130","2015 Cavan Senior Hurling Championship"
"http://chinunitedfc.com/","679211177","","","47705689","2015 Chin United season"
"http://www.dodgecityfootball.com/","682243021","","","46245729","2015 Dodge City Law season"
"http://www.droghedaunited.ie/","669919690","","","45644385","2015 Drogheda United F.C. season"
"http://dukecitygladiators.com/","682241230","","","46633574","2015 Duke City Gladiators season"
"http://esuhornets.com/index.aspx?path=football","683187968","","","46771034","2015 Emporia State Hornets football team"
"http://f2000championshipseries.com/","675658976","F2000 Championship Series","2015","46917508","2015 F2000 Championship Series season"
"http://www.fckansascity.com","683889828","","","46479219","2015 FC Kansas City season"
"http://www.rallycrossrx.com","682055645","","","46735865","2015 FIA European Rallycross Championship season"
"http://www.fimcevrepsol.com/en/content/moto2","681470827","FIM CEV Moto2 European Championship","","46436258","2015 FIM CEV Moto2 European Championship season"
"http://www.fim-live.com/en/sport/sport/cross-country-rallies/","683542348","FIM Cross-Country Rallies World Championship","2015","46277383","2015 FIM Cross-Country Rallies World Championship season"
"http://www.worldsbk.com/","681954512","","","46425631","2015 FIM Superstock 1000 Championship season"
"http://www.fh.is","683342376","","","46317241","2015 Fimleikafélag Hafnarfjarðar season"
