"label","Wikipage page ID"
"German submarine U-2545","46620094"
"German submarine U-3014","46619889"
"German submarine U-3037","46619641"
"German submarine U-3509",""
"German submarine U-3524",""
"U-640",""
"U 641 (Kriegsmarine)",""
"U-679",""
"German submarine U-713",""
"German submarine U-715",""
"German submarine U-717","47317420"
"German submarine U-719",""
"U-720",""
"German submarine U-721","47325887"
"German submarine U-732","47326220"
"German submarine U-733",""
"U-825",""
"U-956",""
"U-979",""
"U-990",""
