"Wikipage page ID","C","F","label","ChemSpiderID","H","Wikipage revision ID"
"47249457","22","1","PX-2","32741702","25","683540863"
"47919780","","","Parathion methyl","","","682767988"
"47416800","","","Perfluorotoluene","","","679432587"
"47189784","","","Phenylpiracetam hydrazide","","","680115795"
"47277557","","","Pivaldehyde","","","672105890"
"47258944","","","Profenophos","","","678675129"
"47933030","","","Propadienone","","","682899255"
"47933033","","","Propynal","","","683225477"
"47317641","11","","Rimeporide","","","673137187"
"47493604","27","","Saracatinib","8477917","32","682419856"
"47195416","23","","THJ-018","29341702","22","670785236"
"47292486","","","Thymine glycol","","","673624483"
"47321774","13","6","Topilutamide","8106619","","679655044"
"47522906","","","Trimethyldiborane","","","680300314"
"47504997","30","1","Ulimorelin","","","678700161"
"47292455","","","Uracil glycol","","","673624082"
"47288627","","","VT-464","","","679687099"
"47754126","","","1,1,1-Tribromoethane","","","681674798"
"47958278","","","1,3-Dichlorobenzene","","","683675729"
"47753614","","","1,3-Diisocyanatobenzene","","","681674747"
