"label","Wikipage page ID","Wikipage revision ID"
"USA-145","36392498","671487386"
"Apstar VI","",""
"Intelsat 9","1673101","586268028"
"Shenzhou 7","",""
"Korabl-Sputnik 2","365303","682675395"
"UoSAT 5","36284390","594168406"
"Badr-1","4318261","669081926"
"Badr-4","6014239","604193045"
"SCORE (satellite)","",""
"Expedition 10","881829","642716835"
"Expedition 2","881083","650607733"
"Expedition 3","881016","651354430"
"Expedition 4","880977","675603364"
"Expedition 5","880944","672538245"
"Expedition 6","880903","675603358"
"Expedition 7","880855","660124635"
"Expedition 8","880785","651254420"
"Explorer 35","886300","642832988"
"Lunar Orbiter 2","885927","643314488"
"Lunar Orbiter 3","885940","662909671"
