"label","Wikipage page ID","Wikipage revision ID"
"Pranahita Pushkaralu","47150008","678863242"
"Sarasvati Pushkaram","47210441","680783731"
"Sindhu Pushkaram","47210226","677485329"
"Tungabhadra Pushkaralu","47210155","677485269"
"Vancouver Halloween Parade & Expo","47481095","678794807"
"Yamuna Pushkaram","47210060","677691454"
"Batakari day","47726572","679629799"
"Bhima Pushkaram","47598984","679023628"
"DuQuoin State Fair","47647684","681798135"
"EGS","47563704","679780547"
"German Open (table tennis)","47135512","670278113"
"Igogo festival","47100430","682824250"
"Manila Fashion Festival","47135684","669645671"
"Michigan Pride","47125952","683212768"
"Micro-Con","47866348","681898230"
"Tapti Pushkaravahini","47599442","678011822"
"Tuna Festival","47588108","679296915"
"US-China University Presidents Roundtable","47076382","682911915"
"Alcheringa (festival)","",""
"Alternative Press Expo","",""
