"Wikipage page ID","label","Link from a Wikipage to an external page","Wikipage revision ID"
"47934070","Emercoin","http://emercoin.com/","683068570"
"47697519","AM-Mark","http://www.moneyfactory.gov","679219057"
"700635","Armenian dram","https://www.cia.gov/library/publications/the-world-factbook/fields/2092.html","681907135"
"293782","CFP franc","https://www.cia.gov/library/publications/the-world-factbook/fields/2092.html","659483359"
"","Cambodian riel","",""
"1375300","Haitian gourde","http://www.brh.net/","680934920"
"708656","Iranian rial","http://irancollection.alborzi.com","681640756"
"234598","Kuwaiti dinar","","682008706"
"1629201","Manx pound","","682558174"
"44674891","新经币","http://nem.io/","683063818"
"1409237","Omani rial","https://www.cia.gov/library/publications/the-world-factbook/fields/2092.html","673758654"
"","Papua New Guinean kina","",""
"1660046","Qatari riyal","https://www.cia.gov/library/publications/the-world-factbook/fields/2092.html","652851272"
"233596","Russian ruble","",""
"","Serbian dinar","",""
"","Turkish lira","",""
"1812285","Yemeni rial","https://www.cia.gov/library/publications/the-world-factbook/fields/2092.html","677754190"
"1227470","Kyrgyzstani som","https://www.cia.gov/library/publications/the-world-factbook/fields/2092.html","681755973"
"490780","Bangladeshi taka","http://www.bangladesh-bank.org/currency/index.php","681751955"
"41360413","دجكوين","","682224805"
