"Link from a Wikipage to an external page","Wikipage page ID","label","Wikipage revision ID"
"http://www.cindyvallar.com/sandokan.html","47871378","Quest for a Throne","681852146"
"","","Ratscalibur",""
"http://www.mtv.com/news/1958508/red-queen-chapter-one/","47763539","Red Queen (novel)","683409533"
"https://books.google.co.jp/books/about/Right_Wrong.html?id=M9goGjE0b1IC&redir_esc=y","47775826","Right & wrong : how to decide for yourself","681233891"
"","47906598","Saltbush Bill, J.P., and Other Verses","682346449"
"","47747545","Sansha San'yō","680177186"
"","47389204","Scholar Extraordinary","678144653"
"","47787853","Science Fiction Oddities","680579102"
"","47676032","Scottish Bulletin of Evangelical Theology",""
"","47961509","Seedless in Seattle","683297104"
"","47665643","Semeia","681556000"
"","47956138","Seven Come Infinity","683419624"
"","47710743","Seven Trips Through Time and Space","679281108"
"","47362546","Shadow From Ladakh","673443768"
"","47859895","Shilakula valase","681598992"
"","47778538","Six Great Short Science Fiction Novels","681157123"
"http://www.sleightsofmind.com/","47119924","Sleights of Mind","671834061"
"","47090499","Smoke and Mirrors (novel)","668921079"
"","47751243","Solar System Research",""
"","47705540","Songs from the Mountains","681252317"
