"label","Geburtsort"
"Julia Easterlin","http://dbpedia.org/resource/Georgia_(U.S._state)"
"Julia Morison","http://dbpedia.org/resource/Pahiatua"
"Julian Gaertner",""
"Julian Knight (politician)",""
"Julio D","http://dbpedia.org/resource/Milan"
"Julio de Urquijo","http://dbpedia.org/resource/Deusto"
"Jun Hori","http://dbpedia.org/resource/Hyōgo_Prefecture"
"Junaid Sheikh","http://dbpedia.org/resource/Jammu"
"June Harwood",""
"戸塚純貴","http://dbpedia.org/resource/Iwate_Prefecture"
"Justin Jarvis","http://dbpedia.org/resource/Birmingham,_Alabama"
"Justin K. Price","http://dbpedia.org/resource/Providence,_Rhode_Island"
"Justin Kauflin",""
"Justin Newcombe",""
"Justin Sampson","http://dbpedia.org/resource/Cobar"
"Jérémy Marie","http://dbpedia.org/resource/Rouen"
"Jörg Schneider (Schauspieler)","http://dbpedia.org/resource/Zürich"
"Júnior Lopes","http://dbpedia.org/resource/Rio_de_Janeiro"
"K.M. Akhtaruzzaman","http://dbpedia.org/resource/Bangladesh"
"K. Pavithiran","http://dbpedia.org/resource/Puducherry"
