"Wikipage revision ID","Wikipage page ID","Link from a Wikipage to an external page","label"
"681755031","47745689","http://alshamsiholdings.com/index.php?","Al Shamsi Holdings"
"","","","Alabel National Science High School"
"","","","Albany Free School"
"","47853399","","Albany Junior/Senior High School"
"","","","Albany Public Library"
"651747750","45683339","","Alboran Trio"
"680828888","47803216","http://www.alcestertownfc.co.uk/home.html","Alcester Town F.C."
"665586646","46716736","http://www.alestra.com.mx/","Alestra"
"666656749","46845531","http://www.alianzaeditorial.es/","Alianza Editorial"
"674160367","46836838","","Alicat Scientific"
"","","","Alison's Mailbox"
"680490213","47782551","http://www.allaboardamerica.com","All Aboard America!"
"661242117","46626978","http://allabouttrans.org.uk","All About Trans"
"682398548","47876870","https://www.caesars.com/planet-hollywood/shows/jennifer-lopez","All I Have (residency)"
"","46818578","","All India Institute Of Technology"
"676321986","46865761","http://www.ammai.in/","All India Mixed Martial Arts Association"
"","45714329","","Allenhouse Institute of Technology"
"","","","Allentown NJ Public Library"
"683058475","46523862","http://newzionistvision.org/","Alliance for New Zionist Vision"
"670433234","46266633","","Alliance of International Doctors"
