"label","Wikipage revision ID","Link from a Wikipage to an external page","Wikipage page ID"
"First Legislative Assembly of Uttar Pradesh","664808625","http://uplegassembly.nic.in/","46813443"
"Fitrak News","682888018","http://fitraknews.com","47013093"
"Flash Frame Visuals Academy of Film and Television, India","675510319","http://www.ffvacademy.com/","47315379"
"Florida Action Committee","680054106","http://floridaactioncommittee.org/","46298501"
"Florida Center for Investigative Reporting","654245439","","46186721"
"Flubit","679903203","http://flubit.com","45662553"
"FlyBaghdad","683874985","","47804000"
"Focus News","","",""
"Focus TV","683266866","http://www.focus.de/focustv/","47952341"
"Fog's End Distillery","","",""
"For All Eternity (band)","","",""
"For Common Cause","670101287","http://forcommoncause.org","46614125"
"フォレスト (ゲーム会社)","659135212","http://www.will-game.com/forester/","46516771"
"Forest Grove City Library","","",""
"Forest Hill Park F.C.","680553920","","46950435"
"Forestville Eagles","","",""
"Foreverlin","683547615","","47764749"
"Formosis","682283354","http://www.formosisbs.com","47792895"
"Forster Bus Service","665936250","http://www.forsterbus.com.au/index.html","46897834"
"Forter","683764826","https://www.forter.com/","46663361"
