"Wikipage revision ID","label","Wikipage page ID","Link from a Wikipage to an external page"
"681306443","American Machinist","45390302","http://americanmachinist.com"
"","Annals of Allergy, Asthma & Immunology","",""
"","Annual Review of Fluid Mechanics","",""
"","AoB PLANTS","45600607",""
"","青春×機関銃","45597994",""
"","Aquatic Conservation: Marine and Freshwater Ecosystems","",""
"","Arbetarhistoria","",""
"","Architecture Australia","",""
"","Asian Journal of Women's Studies","47056447",""
"","Asian Women (journal)","45370761",""
"","Attack on Titan: Junior High","",""
"","Awam e hind","47243637",""
"","Bakwa (magazine)","",""
"650261746","Barometern","45371620",""
"649163139","Beautiful/Decay","45296800","http://beautifuldecay.com/"
"","Beautiful Bones -Sakurako's Investigation-","45496456",""
"","Between the World and Me","",""
"","Billed Bladet","",""
"","Bo Bedre","",""
"","Brain and Behavior","",""
