"Wikipage page ID","Wikipage revision ID","familia","genus","classis","binomial","ordo","label"
"47379976","680959999","http://dbpedia.org/resource/Armadillidae","Pseudolaureola","http://dbpedia.org/resource/Malacostraca","Pseudolaureola atlantica","http://dbpedia.org/resource/Isopoda","Pseudolaureola atlantica"
"47804649","680895145","http://dbpedia.org/resource/Munididae","Raymunida confundens","http://dbpedia.org/resource/Malacostraca","","","Raymunida confundens"
"47804647","680895181","http://dbpedia.org/resource/Munididae","Raymunida dextralis","http://dbpedia.org/resource/Malacostraca","","","Raymunida dextralis"
"47804646","680895188","http://dbpedia.org/resource/Munididae","Raymunida erythrina","http://dbpedia.org/resource/Malacostraca","","","Raymunida erythrina"
"47804645","680895193","http://dbpedia.org/resource/Munididae","Raymunida insulata","http://dbpedia.org/resource/Malacostraca","","","Raymunida insulata"
"47964620","683575547","http://dbpedia.org/resource/Parathelphusidae","","http://dbpedia.org/resource/Malacostraca","","","Syntripsa"
"47964664","683436197","http://dbpedia.org/resource/Parathelphusidae","","http://dbpedia.org/resource/Malacostraca","","","Syntripsa flavichela"
"43557663","656153104","","","","","","Crevette charnue"
"","","","","","","","Coenobitidae"
"","","","","","","","Decapoda"
"463733","682857547","","","","","","Fiddler crab"
"","","","","","","","Hexapodidae"
"2107090","678951834","","","","","","Lucifer (prawn)"
"","","","","","","","Mantis shrimp"
"","","","","","","","Parthenopidae"
"","","","","","","","Blauer Floridakrebs"
"","","","","","","","Socorro-Assel"
"34609088","546294829","","","http://dbpedia.org/resource/Malacostraca","","","Thor (genre)"
"25653213","659781873","","","http://dbpedia.org/resource/Malacostraca","","","Acanthomysis"
"","","","","","","","Arubolana aruboides"
