"Wikipage revision ID","label","Wikipage page ID"
"672525679","Anaesthetobrium lieuae","47165329"
"678678966","Anaesthetobrium luteipenne","47165331"
"670486053","Anarsia acerata","47182892"
"670486292","Anarsia aleurodes","47182893"
"670486516","Anarsia altercata","47182895"
"670486847","Anarsia amegarta","47182896"
"670487178","Anarsia anthracaula","47182897"
"680755278","Anarsia arachniota","47182913"
"670488631","Anarsia asymmetrodes","47182967"
"670181786","Anarsia austerodes","47141480"
"670491061","Anarsia beitunica","47182946"
"670491885","Anarsia belutschistanella","47182977"
"670501478","Anarsia bimaculata","47182980"
"670492424","Anarsia bipinnata","47182983"
"670492612","Anarsia chaonella","47182985"
"670493217","Anarsia chiangmaiensis","47171988"
"670495264","Anarsia conica","47171989"
"670491151","Anarsia decora","47182947"
"670498498","Anarsia eburnella","47183002"
"670498989","Anarsia epotias","47182916"
