"Wikipage revision ID","Link from a Wikipage to an external page","label","Wikipage page ID"
"673546954","https://www.viekira.com/","Ombitasvir/paritaprevir/ritonavir","45637010"
"681095641","https://www.avycaz.com/","Ceftazidime/avibactam","47095678"
"672495250","","1,2,3-trinitrobenzene","47188115"
"682323685","","1-(3-chlorophenyl)-4-(2-phenylethyl)piperazine","47474040"
"681232167","","13-Hydroxyoctadecadienoic acid","47420086"
"676202624","","2,2,3,3-Tetramethylsuccinic acid","47422763"
"678154673","","2,4,5-Trihydroxyamphetamine","47189853"
"681644769","","2,4,5-Trihydroxymethamphetamine","47190144"
"682770706","","2-Methylnaphthalene","47926263"
"673255761","","2-Oxohistidine","47292411"
"676614157","","20-Dihydroprogesterone","47554706"
"677955172","https://www.erowid.org/library/books_online/pihkal/pihkal036.shtml","2C-iP","47256375"
"677700355","","3',4'-Dimethoxy-α-pyrrolidinopentiophenone","47491260"
"676203070","","3,3,4,4-Tetramethyltetrahydrofuran","47398501"
"676202429","","3,3,4,4-Tetramethyltetrahydrofuran-2,5-dione","47399145"
"672119875","","3-Amino-9-ethylcarbazole","47269738"
"676218305","","3C-DFE","47505259"
"683541665","","4'-Methoxy-α-Pyrrolidinopentiophenone","47438900"
"683544456","","4-Fluorobutyrfentanyl","47246510"
"672104926","","4-Mercaptophenylacetic acid","47187269"
