"birth place","label","Geburtsort"
"http://dbpedia.org/resource/County_Tipperary","Niall Curran","http://dbpedia.org/resource/Mullinahone_GAA"
"http://dbpedia.org/resource/County_Tipperary","Niall Fitzgerald","http://dbpedia.org/resource/County_Tipperary"
"http://dbpedia.org/resource/County_Tipperary","Pa Morrissey","http://dbpedia.org/resource/County_Tipperary"
"http://dbpedia.org/resource/County_Tipperary","Paddy Morrissey","http://dbpedia.org/resource/County_Tipperary"
"http://dbpedia.org/resource/County_Kerry","Paud Costelloe","http://dbpedia.org/resource/County_Kerry"
"http://dbpedia.org/resource/County_Tipperary","Peter King (Gaelic footballer)","http://dbpedia.org/resource/Ballina_GAA"
"http://dbpedia.org/resource/County_Tipperary","Richie Quirke","http://dbpedia.org/resource/Cahir_GAA"
"http://dbpedia.org/resource/County_Kilkenny","Richie Reid (Ballyhale Shamrocks hurler)","http://dbpedia.org/resource/County_Kilkenny"
"http://dbpedia.org/resource/County_Kilkenny","Rob Lennon","http://dbpedia.org/resource/County_Kilkenny"
"http://dbpedia.org/resource/County_Tipperary","Robbie Costigan","http://dbpedia.org/resource/Cahir_GAA"
"http://dbpedia.org/resource/Ardfert","Rory Horgan","http://dbpedia.org/resource/Ardfert"
"http://dbpedia.org/resource/County_Tipperary","Seán Brett","http://dbpedia.org/resource/Mullinahone_GAA"
"","Seán Foran",""
"http://dbpedia.org/resource/Clara,_County_Kilkenny","Shane Prendergast","http://dbpedia.org/resource/Clara,_County_Kilkenny"
"http://dbpedia.org/resource/County_Kerry","Stephen Murphy (hurler)","http://dbpedia.org/resource/Causeway_GAA"
"http://dbpedia.org/resource/County_Tipperary","Steven O'Brien (Gaelic footballer)","http://dbpedia.org/resource/Ballina_GAA"
"http://dbpedia.org/resource/Dublin","Sylvester Muldowney",""
"http://dbpedia.org/resource/County_Tipperary","Séamus Kennedy","http://dbpedia.org/resource/County_Tipperary"
"","Tadhg de Búrca",""
"http://dbpedia.org/resource/County_Waterford","Tom Curran (hurler)","http://dbpedia.org/resource/Dungarvan_GAA"
