"label","Wikipage page ID","Wikipage revision ID"
"2013 Adelaide Film Festival","45336923","680427477"
"2015 Adelaide Film Festival","45342301","680565910"
"2015 Deauville American Film Festival","47637450","681357079"
"Berlin Short Film Festival","47180335",""
"Cannes Corporate Media & TV Awards","47580596","682896055"
"Colchester Film Festival","45576807","663378891"
"Международный фестиваль кино- и телеоператоров «Золотой глаз»","45311389","653850659"
"Marrakech International Film Festival Awards","47558741","682822746"
"ShortCutz Amsterdam","45391623",""
"Thessaloniki Festival of Greek Cinema","",""
"All Lights India International Film Festival","47503386","676362918"
"Delhi International Film Festival","47326636","681135230"
"Kochi Metro (Malayalam) Short Film Fest","47538801","677031184"
"New Directors/New Films Festival","47522908","676098053"
"Buffer Festival","47894303","682349619"
"China International New Media Short Film Festival","47677631","680901201"
"KingBonn Award","47697607","680788554"
"Jeonju International Film Festival","",""
"Thessaloniki International Film Festival","",""
"Internationale Filmfestspiele Berlin 1961","",""
