"birth place","label","Geburtsort","Geburtsdatum"
"Moscow, Russia","Sofja Andrejewna Schuk","http://dbpedia.org/resource/Moscow","1999-12-01"
"Jhajjar, India","Sumit Nagal","http://dbpedia.org/resource/Jhajjar","1997-08-16"
"","Tin Patrimonio","http://dbpedia.org/resource/Mandaluyong",""
"Kerch, Ukraine","Valeriya Strakhova","http://dbpedia.org/resource/Kerch","1995-06-09"
"Moscow, Russia","Aleksandra Pospelova","http://dbpedia.org/resource/Moscow","1998-04-22"
"Moscow, Russia","Anna Blinkova","http://dbpedia.org/resource/Moscow","1998-09-10"
"Moscow, Soviet Union","Anna Morgina","http://dbpedia.org/resource/Moscow",""
"Les Lilas, France","Calvin Hemery","http://dbpedia.org/resource/Les_Lilas","1995-01-28"
"Oslo, Norway","Casper Ruud","http://dbpedia.org/resource/Oslo","1998-12-22"
"","Chayenne Ewijk","","1988-08-17"
"Thousand Oaks, California, United States","Claire Liu","","2000-05-25"
"","Deiton Baughman","","1996-04-23"
"http://dbpedia.org/resource/Tel_Aviv","Denis Shapovalov","http://dbpedia.org/resource/Tel_Aviv",""
"","Eduardo Dischinger","","1992-05-18"
"Kiev, Ukraine","Elizaveta Ianchuk","http://dbpedia.org/resource/Kiev","1993-03-08"
"http://dbpedia.org/resource/Auckland","Erin Routliffe","http://dbpedia.org/resource/Auckland",""
"Montreal, Quebec, Canada","Félix Auger-Aliassime","http://dbpedia.org/resource/Montreal",""
"","Hong Hyun-hui","","1991-12-27"
"Oyster Bay, New York, United States","Ingrid Neel","http://dbpedia.org/resource/Oyster_Bay_(town),_New_York","1998-06-16"
"","Joan Austin","",""
