"label","Sterbeort","Sterbedatum","Geburtsort","death place","birth place"
"Franciszek Wróblewski","http://dbpedia.org/resource/Vilnius","1857-04-28","http://dbpedia.org/resource/Vilnius","http://dbpedia.org/resource/Vilnius","http://dbpedia.org/resource/Vilnius"
"Walter V. von Châtillon","","","http://dbpedia.org/resource/Châtillon-sur-Marne","","http://dbpedia.org/resource/Châtillon-sur-Marne"
"Geregye II Geregye","","","","",""
"Henry Preussel","http://dbpedia.org/resource/Isaszeg","","","http://dbpedia.org/resource/Isaszeg",""
"Juan de Borja y Arnau","http://dbpedia.org/resource/New_Kingdom_of_Granada","","http://dbpedia.org/resource/Gandia","Royal audience of Santa Fe de Bogotá, New Kingdom of Granada, Spanish Empire",""
"Marcel Tétény","","","","",""
"Mojs I","","","","",""
"Nicholas, Palatine of Hungary","","","","",""
"Paul Geregye","","","","",""
"Roland I Rátót","","","","",""
"Ruđina Balšić","","","","",""
"Sir William Domville, 1st Baronet","","","","",""
"Stephen Geregye","","","","",""
"Stephen I Gutkeled","","","","",""
"Theodore Vejtehi","","","","",""
"Vejte Csanád","","","","",""
"Abdullah bin Saud","","","","",""
"Achilles (judge royal)","","","","",""
"Anne de Montmorency","","","","",""
"Antoine, 1st comte de Noailles","","","","",""
