"Geburtsdatum","birth place","Geburtsort","label"
"1959-11-23","Amuzu-Amaimo, Imo State, Nigeria","http://dbpedia.org/resource/Nigeria","Dan Nwanyanwu"
"1950","Unknown","","Dan Sullivan (Arkansas politician)"
"1972-04-12","","","Dave Pinto"
"","Uburu, Ohaozara LGA, Ebonyi State, Nigeria","http://dbpedia.org/resource/Nigeria","Dave Umahi"
"1948","Place of birth missing","","Dave Wallace (Arkansas politician)"
"1976","","http://dbpedia.org/resource/South_Korea","David Ryu"
"","","","Dennis Smith (politician)"
"1959-03-13","Kottayam, Kerala, India","","Dr. M. M. Alex"
"","Calgary","http://dbpedia.org/resource/Calgary","Druh Farrell"
"1877-11-18","Lewisburg, West Virginia, USA","http://dbpedia.org/resource/Lewisburg,_West_Virginia","Dwight O.W. Holmes"
"1943-09-25","Westover, Maryland, USA","http://dbpedia.org/resource/Westover,_Maryland","Earl S. Richardson"
"1953-07-21","http://dbpedia.org/resource/Guam","http://dbpedia.org/resource/Guam","Elizabeth Barrett-Anderson"
"","","","Elizabeth Sherwood-Randall"
"","Calgary","http://dbpedia.org/resource/Calgary","Evan Woolley"
"","","","Gary Glenn"
"1951-10-02","http://dbpedia.org/resource/Yerevan","http://dbpedia.org/resource/Yerevan","Гарибджанян, Гегам Тиранович"
"","New York","http://dbpedia.org/resource/New_York","George Thompson Ruby"
"","","","Gerald Jones"
"1960-05-17","","","Girish Dattatray Mahajan"
"","","","Greg Clark"
