"Wikipage page ID","Wikipage revision ID","Link from a Wikipage to an external page","official name","label","type","holiday name","frequency","observances","imagesize"
"47886528","682210600","http://catanduanes.gov.ph/catandungan-festival/","Catandungan Festival","Catandungan Festival","local","Catandungan Festival","annual","Carnival, Parade, Street Dancing","200"
"46178295","681098481","http://daytopraise.com","","Jour de louange","","","","",""
"46671102","662830371","http://www.dontaku.fukunet.or.jp/","","博多どんたく","","","","",""
"47705304","683798609","http://www.cagayandeoro.gov.ph/","","Higalaay Festival","","Higalaay Festival","annual","",""
"47934091","683895207","http://www.toowoombashow.com.au/","","Royal Toowoomba Show","","","annual","",""
"47181296","678530275","http://www.internationalchessday.com/#main","","Международный день шахмат","","International Chess Day","Annual","",""
"47539293","677512772","","","International Day of Remembrance of the Victims of Slavery and the Transatlantic Slave Trade","international","International Day of Remembrance of the Victims of Slavery and the Transatlantic Slave Trade","annual","",""
"47896399","682362764","","Abaca Festival","Abaca Festival","local","Abaca Festival","annual","Cultural Dance, Parade, Musical, Jobs Fair, Sporting events",""
"47914567","683003253","http://www.indian-politics.net/2011/02/kashmir-dispute-history-kashmir.html","","Azad Kashmir Day","","","annual","",""
"47372945","677549509","","","Hera Panchami","Hindu","Hera Panchami","","",""
"47613003","678007599","http://www.vlwlibya.org/purple-hijab-day/","","International Purple Hijab Day","","","annual","",""
"47847979","682718497","","","Marathwada Liberation Day","","Marathwada Mukti Sangram Din","annual","",""
"47575260","682047022","","","Martyrs' Day (United Arab Emirates)","","Martyrs' Day","annual","",""
"47768051","683840474","http://www.naenara.com.kp/en/event/?part=20151010/","","Party Foundation Day","","","annual","",""
"47331499","674748361","","","The Eighth (United States)","National","The Eighth","annual","",""
"","","","","Ambedkar Jayanti","","","","",""
"","","","","Day of Ashura","","","","",""
"","","","","Fraternal Day","","","","",""
"","","","","Internationaler Tag des Bieres","","","","",""
"","","","","International Women's Day","","","","",""
