"label","birth place","Geburtsdatum","Geburtsort"
"Jordi Muñoz Abreu","Barcelona, Spain","1990-01-17","http://dbpedia.org/resource/Barcelona"
"Kaitlyn Christian","Orange, California, United States","1992-01-13","http://dbpedia.org/resource/Orange,_California"
"Kerstin Gressmann","Swakopmund, Namibia","","http://dbpedia.org/resource/Namibia_Fed_Cup_team"
"Kim Na-ri","","1990-04-04",""
"Lauren Herring","Greenville, North Carolina, United States","1993-07-23","http://dbpedia.org/resource/Greenville,_North_Carolina"
"Luca Margaroli","Brescia, Italy","1992-02-15","http://dbpedia.org/resource/Brescia"
"Luisa Stefani","São Paulo, Brazil","","http://dbpedia.org/resource/São_Paulo"
"Malika Auger-Aliassime","Montreal, Quebec, Canada","","http://dbpedia.org/resource/Montreal"
"Marat Deviatiarov","Kharkiv, Ukraine","","http://dbpedia.org/resource/Kharkiv"
"Matt Seeberger","San Francisco, United States","1984-08-10","http://dbpedia.org/resource/San_Francisco"
"Maya Jansen","","1994-05-27",""
"Mikael Torpegaard","Denmark","1994-05-08",""
"Miyu Kato (tennis)","Kyoto, Japan","","http://dbpedia.org/resource/Kyoto"
"Molly Van Nostrand","West Islip, New York, USA","1965-03-12","http://dbpedia.org/resource/West_Islip,_New_York"
"Olga Fridman","Kiev, Ukraine","1998-09-30","http://dbpedia.org/resource/Kiev"
"Olga Ianchuk","Kiev, Ukraine","1995-03-29","http://dbpedia.org/resource/Kiev"
"Монова, Полина Ивановна","","1993-04-06",""
"Robert Bennett (tennis)","http://dbpedia.org/resource/Pittsburgh","","http://dbpedia.org/resource/Pittsburgh"
"Sabrina Santamaria","Los Angeles, United States","1993-02-24","http://dbpedia.org/resource/Los_Angeles"
"Takuto Niki","","1987-10-12",""
