"label","Geburtsdatum"
"Erik Baška","1994-01-12"
"Erwann Corbel",""
"Floris Gerts",""
"Galina Chernyshova","1993-11-21"
"Gianluca Pianegonda",""
"Gianni Moscon",""
"Gregor Mühlberger","1994-04-04"
"Gustavo Domínguez",""
"Hefty Stuart",""
"Hossein Jahabanian","1976-04-02"
"Ingvar Ómarsson","1989-04-13"
"Jakub Novák (Radsportler, 1990)","1990-12-30"
"James Oram","1993-06-17"
"Javier Ramírez","1978-03-14"
"Jay Sweet",""
"Jonas Bokeloh","1996-03-16"
"Jorge Arcas","1992-07-08"
"Juan José de los Ángeles",""
"Julien Guay",""
"Kamil Zieliński","1988-03-03"
