"footer","label","Link from a Wikipage to an external page","Wikipage revision ID","Wikipage page ID","series","previous"
"2015","2015 Mercedes-Benz Challenge season","http://mbchallenge.com.br/","668206232","45389329","Mercedes-Benz Challenge","2014"
"","2015 Pro Mazda Winterfest","http://promazdachampionship.com/","650437290","45443325","Pro Mazda Winterfest",""
"","Гонка чемпионов 2015","http://www.raceofchampions.com/","682708836","47127010","",""
"http://dbpedia.org/resource/2015_Euroformula_Open_season","2015 SEAT León Eurocup season","http://www.seat-sport.com/eurocup/","683926177","45508773","",""
"","2015 TCR Benelux Series season","","683431270","47286923","TCR Benelux Series","none"
"","2015 TCR Italian Series season","","683256045","45446020","TCR Italian Series","none"
"","2015 TCR USA Series season","","680854242","45525398","TCR USA Series","none"
"","2015 U.S. F2000 National Championship","","681554387","45443863","U.S. F2000 National Championship",""
"","Asian Le Mans Series 2015-2016","http://www.asianlemansseries.com/","683337928","45390011","",""
"","FIA-Formel-E-Meisterschaft 2015/16","http://www.fiaformulae.com/","683981133","45419025","",""
"","2016 IMSA SportsCar Championship season","http://www.imsa.com/","681130714","47477832","United SportsCar Championship",""
"","1971 SCCA Formula Super Vee season","","674700517","47431787","SCCA Formula Super Vee","none"
"","1972 SCCA Formula Super Vee season","","674715378","47439515","SCCA Formula Super Vee",""
"","1973 SCCA Formula Super Vee season","","676206170","47440245","SCCA Formula Super Vee",""
"","1974 SCCA Formula Super Vee season","","675035926","47458138","SCCA Formula Super Vee",""
"","2001 SCCA ProRally season","http://www.rallyracingnews.com/scca/usres01.html","670481156","47179306","SCCA ProRally",""
"","2002 SCCA ProRally season","http://www.rallyracingnews.com/scca/usres02.html","670437036","47178885","SCCA ProRally",""
"","2003 SCCA ProRally season","http://www.rallyracingnews.com/scca/usres03.html","670410031","47178718","SCCA ProRally",""
"","2004 SCCA ProRally season","http://www.rallyracingnews.com/scca/usres04.html","670435916","47179436","SCCA ProRally",""
"","2015 24 Hours of Spa","","678545859","47397420","",""
