"Geburtsdatum","label","Geburtsort"
"1938-07-25","Joe Stevens","http://dbpedia.org/resource/New_York"
"","Oscar Abolafia",""
"","Frederick Gutekunst",""
"","Laton Alton Huffman",""
"","Nathan W. Pease",""
"","Murray A. Wiener",""
"","Ray Avery (photographer)",""
"","Jon Kral",""
"","Abelardo Morell",""
"","Eric Enstrom",""
"","Eric Kroll",""
"","H. W. Griffiths",""
"","Mark Tucker (photographer)",""
"","Michael Williamson (photographer)",""
"","Robert Altman (photographer)",""
"","Robert Cameron (photographer)",""
"","Stephen Frink",""
"","H. R. Locke",""
"","Clay Enos",""
"","Todd Krampitz",""
