"label","birth place","Geburtsdatum"
"Calvin Bridges (musician)","","1952-01-24"
"Cam Kirk","Maryland","1989-02-27"
"Camilla Lennarth","http://dbpedia.org/resource/Stockholm",""
"Carla Cassola","http://dbpedia.org/resource/Taormina","1947-12-15"
"Carla García","http://dbpedia.org/resource/Las_Palmas","1990"
"Carlos Ramirez-Rosa","http://dbpedia.org/resource/Chicago","1989-02-18"
"Carol Chaikin","",""
"Carol Jarvis","http://dbpedia.org/resource/England","1977-11-17"
"Carolin Kebekus","","1980-05-09"
"Caroline Ansell","","1971-01-12"
"Caroline Linden","",""
"Carolyn Coleman","http://dbpedia.org/resource/Oklahoma_City","1952"
"Carolyn Drake","","1971"
"Carter Ferguson","",""
"Casey Calvert","",""
