"Name","Unbekannt","Zeit","Prozent"
"AED-6 Defibrillator","19227","236:44:42","83.69%"
"Wrench","22","00:53:23","0.31%"
"Medic Pack","0","00:00:00","0%"
"Camouflage","184","00:00:00","0%"
"II-29 Motion Mine","0","00:00:00","0%"
"Medic Hub","63569","238:19:30","84.25%"
"Ammo Hub","432","03:41:42","1.31%"
"SLS Beacon","50","00:00:00","0%"
"Sonar","0","00:00:00","0%"
"Recon Drone","0","00:00:00","0%"
"V5 EMP Grenade","376","00:00:00","0%"
"II-14 EMP Mine","30","00:00:00","0%"
"DS-22 Sniper Decoy","1","00:00:28","0%"
"CM3-N Radar Grenade","0","00:00:00","0%"
"MMB-5 Motion Mine Bait","4","00:04:12","0.02%"
"IDS-1","65","00:44:53","0.26%"
"Gesamt","83960","480:28:50","169.84"
"Durchschnitt","5247.5","30:01:48","10.62"
