"Country","Currency","ISO-code"
"Euro area","Euro","EUR"
"USA","Dollars","USD"
"UK","Pounds sterling","GBP"
"Sweden","Kronor","SEK"
"Norway","Kroner","NOK"
"Iceland","Kronur","ISK"
"Switzerland","Francs","CHF"
"Canada","Dollars","CAD"
"Japan","Yen","JPY"
"Australia","Dollars","AUD"
"New Zealand","Dollars","NZD"
"Estonia","Kroons","EEK"
"Latvia","Lats","LVL"
"Lithuania","Litas","LTL"
"Poland","Zlotys","PLN"
"Czech Republic","Koruny","CZK"
"Hungary","Forints","HUF"
"Hongkong","Dollars","HKD"
"Singapore","Dollars","SGD"
"SDR","(calculated)","XDR"
