"Link from a Wikipage to an external page","label","Wikipage revision ID","Wikipage page ID"
"http://www.salinabombers.com/","2013 Salina Bombers season","662733473","46701474"
"http://www.tpslsoccer.com","2013–14 Texas Premier Soccer League season","672815568","46273630"
"http://www.dodgecityfootball.com/","2014 Dodge City Law season","682243126","46375924"
"http://www.acisportitalia.it/CIGT/","Campionato Italiano GT 2014","676078948","46627550"
"","2014 Porsche Carrera Cup Italy","679633123","46809176"
"http://www.salinabombers.com/","2014 Salina Bombers season","664529622","46701324"
"http://www.bundesliga.at/index.php?id=434","Erste Liga 2014-2015","664793952","46848596"
"http://www.csmindelense.com","2014–15 CS Mindelense season","680605753","47732421"
"http://www.etgfc.com/","2014–15 Evian Thonon Gaillard F.C. season","670278582","46982000"
"http://www.fcdynamo.kiev.ua/","Futbol'nyj Klub Dynamo Kyïv 2014-2015","678519187","46296455"
"http://www.fclweb.fr/","2014–15 FC Lorient season","670450209","46237489"
"http://www.fcmetz.com/","2014–15 FC Metz season","668333877","46219780"
"http://www.fcnantes.com/accueil.php","Saison 2014-2015 du FC Nantes","677465933","45698033"
"http://www.rclens.fr/site/","2014–15 RC Lens season","675433118","46964421"
"http://www.smcaen.fr/","2014–15 Stade Malherbe Caen season","673371150","46982433"
"http://www.staderennais.com/","2014–15 Stade Rennais F.C. season","673371164","46982501"
"http://www.stade-de-reims.com/","2014–15 Stade de Reims season","681350119","46238866"
"http://www.tpslsoccer.com","2014–15 TPSL season","672815234","46431160"
"http://www.adac-procar.de","ADAC-Procar-Saison 2015","682735976","47352361"
"http://www.africanrallychampionship.com/","2015 African Rally Championship","676171230","45694355"
