"state province territory country etc","area(square miles)","comments"
"vatican city","&lt;1","&nbsp;"
"monaco","1","&nbsp;"
"nauru","8","&nbsp;"
"tuvalu","10","&nbsp;"
"san marino","24","&nbsp;"
"liechtenstein","62","&nbsp;"
"washington dc","68","&nbsp;"
"marshall islands","70","&nbsp;"
"american samoa","77","&nbsp;"
"st kitts and nevis","104","&nbsp;"
"maldives","115","&nbsp;"
"malta","122","including gozo and comino"
"grenada","133","&nbsp;"
"us virgin islands","135","&nbsp;"
"st vincent and the grenadines","150","&nbsp;"
"barbados","166","&nbsp;"
"antigua and barbuda","171","&nbsp;"
"seychelles","175","&nbsp;"
"andorra","181","&nbsp;"
"northern marianas","184","&nbsp;"
"guam","209","&nbsp;"
"st lucia","238","&nbsp;"
"bahrain","240","&nbsp;"
"singapore","247","&nbsp;"
"micronesia","271","&nbsp;"
"tonga","289","&nbsp;"
"dominica","290","&nbsp;"
"kiribati","342","&nbsp;"
"sao tome and principe","372","&nbsp;"
"comoros","720","&nbsp;"
"mauritius","790","&nbsp;"
"luxembourg","998","&nbsp;"
"samoa","1093","&nbsp;"
"rhode island","1545","&nbsp;"
"cape verde","1557","&nbsp;"
"trinidad and tobago","1980","&nbsp;"
"prince edward island","2185","&nbsp;"
"brunei","2226","&nbsp;"
"delaware","2489","&nbsp;"
"puerto rico","3515","&nbsp;"
"cyprus","3572","entire island"
"lebanon","4015","&nbsp;"
"jamaica","4244","&nbsp;"
"the gambia","4361","&nbsp;"
"qatar","4416","&nbsp;"
"vanuatu","4707","&nbsp;"
"northern ireland","5206","&nbsp;"
"montenegro","5333","&nbsp;"
"bahamas","5382","&nbsp;"
"connecticut","5544","&nbsp;"
"swaziland","6704","&nbsp;"
"kuwait","6880","&nbsp;"
"fiji","7055","&nbsp;"
"slovenia","7820","&nbsp;"
"wales","8018","&nbsp;"
"el salvador","8124","&nbsp;"
"israel","8463","&nbsp;"
"djibouti","8495","&nbsp;"
"new jersey","8722","&nbsp;"
"belize","8867","&nbsp;"
"new hampshire","9351","&nbsp;"
"vermont","9615","&nbsp;"
"macedonia","9928","&nbsp;"
"rwanda","10169","&nbsp;"
"massachusetts","10555","&nbsp;"
"haiti","10714","&nbsp;"
"burundi","10747","&nbsp;"
"equatorial guinea","10831","&nbsp;"
"hawaii","10932","&nbsp;"
"solomon islands","10980","&nbsp;"
"albania","11100","&nbsp;"
"armenia","11500","&nbsp;"
"lesotho","11720","&nbsp;"
"belgium","11787","&nbsp;"
"maryland","12407","&nbsp;"
"moldova","13008","&nbsp;"
"guinea-bissau","13948","&nbsp;"
"switzerland","15940","&nbsp;"
"netherlands","16033","including 2500 square miles of polders"
"denmark","16639","including bornholm but excluding greenland and the faroe islands"
"estonia","17400","&nbsp;"
"bhutan","18147","&nbsp;"
"dominican republic","18816","&nbsp;"
"slovakia","18932","&nbsp;"
"costa rica","19730","&nbsp;"
"nova scotia","21425","&nbsp;"
"croatia","21829","&nbsp;"
"togo","21925","&nbsp;"
"west virginia","24231","&nbsp;"
"latvia","24938","&nbsp;"
"lithuania","25175","&nbsp;"
"sri lanka","25326","&nbsp;"
"tasmania","26383","&nbsp;"
"georgia (the country)","26900","&nbsp;"
"republic of ireland","27136","&nbsp;"
"sierra leone","27699","&nbsp;"
"new brunswick","28355","&nbsp;"
"panama","29157","&nbsp;"
"scotland","29750","including the scottish islands but excluding inland water"
"united arab emirates","30000","&nbsp;"
"czech republic","30450","&nbsp;"
"bosnia and herzegovina","30677","&nbsp;"
"south carolina","32007","&nbsp;"
"ireland (northern ireland and the republic of ireland)","32342","&nbsp;"
"austria","32378","&nbsp;"
"azerbaijan","33400","&nbsp;"
"serbia","34116","including kosovo"
"jordan","34578","&nbsp;"
"french guiana","35135","&nbsp;"
