"HIGH POINT REGIONAL HOSPITAL","601 N ELM ST High Point NC 27262","(336) 878-6000"
"ANNIE PENN HOSPITAL","618 S MAIN ST Reidsville NC 27320","(336) 634-1010"
"THOMASVILLE MEDICAL CENTER","207 OLD LEXINGTON ROAD Thomasville NC 27360","(336) 472-2000"
"DUKE UNIVERSITY MEDICAL CTR","PO BOX 3701 Durham NC 27710","(919) 684-8111"
"DURHAM REGIONAL HOSPITAL","3643 N ROXBORO RD Durham NC 27704","(919) 470-4000"
"LENOX BAKER CHILDREN'S HOSP","3000 ERWIN RD Durham NC 27705","(919) 684-6669"
"NORTH CAROLINA EYE &amp; EAR HOSP","1110 W MAIN ST Durham NC 27701","(919) 682-9341"
"NORTH CAROLINA SPECIALTY HOSP","1110 W MAIN ST Durham NC 27701","(919) 956-9300"
"US VETERANS MEDICAL CTR","508 FULTON ST Durham NC 27705","(919) 286-0411"
"CENTRAL CAROLINA HOSPITAL","1135 CARTHAGE ST Sanford NC 27330","(919) 774-2100"
"WESTERN WAKE MEDICAL CTR","PO BOX 8025 Cary NC 27512","(919) 233-2300"
"MONTGOMERY MEMORIAL HOSPITAL","PO BOX 486 Troy NC 27371","(910) 572-1301"
"LEXINGTON MEMORIAL HOSPITAL","PO BOX 1817 Lexington NC 27293","(336) 248-5161"
"LEXINGTON MEMORIAL HOSPITAL","PO BOX 1817 Lexington NC 27293","(336) 248-5161"
"MOREHEAD MEMORIAL HOSPITAL","117 E KINGS HWY Eden NC 27288","(336) 623-9711"
"FORSYTH MEDICAL CTR","3333 SILAS CREEK PKWY Winston Salem NC 27103","(336) 718-5000"
"MEDICAL PARK HOSPITAL","PO BOX 24728 Winston Salem NC 27114","(336) 718-0600"
"PERSON MEMORIAL HOSPITAL","615 RIDGE RD Roxboro NC 27573","(336) 599-2121"
"JOHN UMSTEAD HOSPITAL","1003 12TH ST Butner NC 27509","(919) 575-7943"
"SOUTHERN WAKE HOSPITAL","400 W RANSOM ST Fuquay Varina NC 27526","(919) 552-2206"
"DANVILLE REGIONAL MEDICAL CTR","142 S MAIN ST Danville VA 24541","(804) 799-2100"
"DANVILLE REGIONAL MEDICAL ER","142 S MAIN ST Danville VA 24541","(804) 799-4459"
"DOROTHEA DIX HOSPITAL","820 S BOYLAN AVE Raleigh NC 27603","(919) 733-5540"
"RALEIGH COMM HOSP","3400 WAKE FOREST RD Raleigh NC 27609","(919) 954-3000"
"RALEIGH COMMUNITY HOSPITAL","3410 EXECUTIVE DR # 209 Raleigh NC 27609","(919) 954-3492"
"REX HOSPITAL","4420 LAKE BOONE TRL Raleigh NC 27607","(919) 783-3100"
"FIRST HEALTH MOORE REGL HOSP","PO BOX 3000 Pinehurst NC 28374","(910) 215-1000"
