"File","Language","Country","Translator","incl docs?","For version"
"langDutch.exe( 130 kB )","Dutch","The Netherlands","Joris Wit","Yes","1.6"
"langGerman.exe( 38 kB )","German","Germany","Reinhard","-","1.6"
"langDanish.exe( 126 kB )","Danish","Danmark","Boendorf","Yes","1.6"
"langSpanishAR.exe( 195 kB )","Spanish-Argentina","Argentina","Jucar","Yes","1.6"
"langSpanish.exe( 52 kB )","Spanish","Spain","L&aacute;zaro Mu&ntilde;oz","-","1.6"
"langRussian.exe( 38 kB )","Russian","Russia","Andrey Molchanov","-","1.6"
"langItalian.exe( 38 kB )","Italian","Italy","Alberto Pettarin","-","1.6"
"langSwedish.exe( 131 kB )","Swedish","Sweden","K-E Svensson","Yes","1.6"
"langFinnish.exe( 40 kB )","Finnish","Finland","J. Martikainen","-","1.5 *"
"langFrench.exe( 252 kB )","French","Qu&eacute;bec","Patrick Allaire","Yes","1.5 *"
"langPortugese.exe( 40 kB )","Portugese","Brazil","Ricardo Marques","-","1.5 *"
"langPolish.exe( 206 kB )","Polish","Poland","Tomek Niedbala","Yes","1.5 *"
"langAfrikaans.exe( 37 kB )","Afrikaans","South Africa","Johannes Pretorius","-","1.5 *"
"langGreek.exe( 127 kB )","Greek","Greece","Giorgos Kostopoulos","Yes","1.6"
"langTurkish.exe( 38 kB )","Turkish","Turkey","Fikret Erdemir","-","1.6"
"langSlovenian.exe( 38 kB )","Slovenian","Slovenia","Branko Arzensek","-","1.6"
"langGalician.exe( 40 kB )","Galician","Spain","Xabier Cancela","-","1.6"
"langHungarian.exe( 250 kB )","Hungarian","Hungary","Kojo","Yes","1.6"
