"NULL","age","years in major league baseball oryears matching criteria>yrs","plate appearancesestimated using ab + bb + hbp + sf + shmissing catcher interferences.when this color click for a summary of each pa.>pa","g","plate appearancesestimated using ab + bb + hbp + sf + shmissing catcher interferences.when this color click for a summary of each pa.>pa","ab","r","h","2b","3b","hr","rbi","sb","cs","bb","so","hits/at batsfor recent years leaders need 3.1 paper team game played>ba","(h + bb + hbp)/(at bats + bb + hbp + sf)for recent years leaders need 3.1 paper team game played>obp","total bases/at bats or (1b + 2*2b + 3*3b + 4*hr)/abfor recent years leaders need 3.1 paper team game played>slg","on-base + slugging percentages for recent years leaders need 3.1 paper team game played>ops","ops+100*[obp/lg obp + slg/lg slg - 1]adjusted to the player&#146;s ballpark(s)>ops+","total basessingles + 2 x doubles + 3 x triples + 4 x home runs.>tb","double plays grounded intoonly includes standard 6-4-3 4-3 etc. double plays.first tracked in 1933.>gdp","hbp","sh","sacrifice fliesfirst tracked in 1954.>sf","intentional bases on ballsfirst tracked in 1955.>ibb"
"ethan&nbsp;allen","26","5","1807","498","1807","1679","239","498","94","24","19","184","45","NULL","78","101",".297",".329",".415",".744","91","697","NULL","3","47","NULL","NULL"
"ken&nbsp;ash","28","4","48","58","48","46","3","6","1","0","0","1","0","0","1","8",".130",".149",".152",".301","-23","7","NULL","0","1","NULL","NULL"
"larry&nbsp;benton","32","8","604","310","604","538","39","85","8","2","2","36","1","0","22","136",".158",".195",".191",".387","2","103","NULL","3","41","NULL","NULL"
"marty&nbsp;callaghan*","30","4","874","295","874","767","106","205","28","13","0","74","10","8","71","70",".267",".332",".338",".669","72","259","NULL","3","33","NULL","NULL"
"archie&nbsp;campbell","26","3","21","40","21","19","2","5","0","0","0","2","0","0","0","7",".263",".263",".263",".526","33","5","NULL","0","2","NULL","NULL"
"ownie&nbsp;carroll","27","5","308","148","308","279","32","58","8","4","0","31","0","1","15","27",".208",".251",".265",".516","33","74","NULL","1","13","NULL","NULL"
"pat&nbsp;crawford*","28","2","415","166","415","357","48","103","13","3","9","67","3","NULL","41","17",".289",".365",".417",".782","93","149","NULL","2","15","NULL","NULL"
"hughie&nbsp;critz","29","7","4020","926","4020","3685","545","1024","121","77","22","377","81","24","202","155",".278",".316",".370",".686","78","1365","NULL","3","130","NULL","NULL"
"tony&nbsp;cuccinello","22","1","506","125","506","443","64","138","22","5","10","78","5","NULL","47","44",".312",".380",".451",".832","105","200","NULL","2","14","NULL","NULL"
"nick&nbsp;cullop","29","4","179","69","179","156","20","34","6","5","3","19","0","4","19","42",".218",".307",".378",".685","74","59","NULL","1","3","NULL","NULL"
"pete&nbsp;donohue","29","10","791","336","791","725","44","180","17","4","6","87","1","2","21","76",".248",".272",".308",".580","52","223","NULL","3","42","NULL","NULL"
"chuck&nbsp;dressen","35","6","2472","625","2472","2155","310","592","119","29","11","218","30","3","217","113",".275",".346",".372",".718","90","802","NULL","18","82","NULL","NULL"
"leo&nbsp;durocher","24","4","1099","329","1099","992","131","250","27","14","3","95","4","5","76","130",".252",".310",".317",".627","62","314","NULL","8","23","NULL","NULL"
"al&nbsp;eckert*","24","1","1","2","1","1","0","0","0","0","0","0","0","NULL","0","0",".000",".000",".000",".000","-100","0","NULL","0","0","NULL","NULL"
"hod&nbsp;ford","32","12","5066","1316","5066","4546","457","1202","187","52","16","474","21","28","329","331",".264",".317",".339",".656","73","1541","NULL","22","169","NULL","NULL"
