"Feed Link","Type","Game","Competition","Length","Details"
"http://www.gamestah.com/rss/1895","Events","Warcraft 3 - DOTA","All","5","Title Only"
"http://www.gamestah.com/rss/1894","Events","Warcraft 3 - DOTA","All","5","Title Only"
"http://www.gamestah.com/rss/1893","Events","Warcraft 3 - DOTA","All","5","Title Only"
"http://www.gamestah.com/rss/1892","Events","Warcraft 3 - DOTA","All","10","Title and Description"
"http://www.gamestah.com/rss/1891","Events","Warcraft 3 - DOTA","All","5","Title Only"
"http://www.gamestah.com/rss/1890","Events","Left 4 Dead","All","5","Title Only"
"http://www.gamestah.com/rss/1889","Events","Warcraft 3 - DOTA","All","5","Title Only"
"http://www.gamestah.com/rss/1888","Events","Call of Duty: Modern Warfare 2","All","5","Title Only"
"http://www.gamestah.com/rss/1887","Events","All","All","5","Title Only"
"http://www.gamestah.com/rss/1886","Events","Warcraft 3 - DOTA","All","5","Title Only"
"http://www.gamestah.com/rss/1885","Events","Call of Duty: Modern Warfare 2","All","5","Title and Description"
"http://www.gamestah.com/rss/1884","Events","Call of Duty: Modern Warfare 2","All","5","Title Only"
"http://www.gamestah.com/rss/1883","Events","Call of Duty: Modern Warfare 2","CyberGamer","5","Title Only"
"http://www.gamestah.com/rss/1882","Events","Call of Duty 4","All","5","Title Only"
"http://www.gamestah.com/rss/1881","Downloads","Left 4 Dead","CyberGamer","5","Title Only"
