"country","currency","alphabetic code&nbsp;&nbsp;&nbsp;&nbsp;","numeric code&nbsp;&nbsp;&nbsp;&nbsp;","symbol&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","subdivision"
"lao people's democratic republic","kip","lak","418","kn","100 at"
"latvia","latvian lats","lvl","428","ls","100 santims"
"lebanon","lebanese pound","lbp","422","l.l.","100 piastres"
"lesotho","loti","lsl","426","l pl. m","100 lisente"
"lesotho (other)","rand","zar","710","r","100 cents"
"liberia","liberian dollar","lrd","430","$","100 cents"
"libyan arab jamahiriya","libyan dinar","lyd","434","ld","1000 dirhams"
"liechtenstein","swiss franc","chf","756","swf","100 rappen/centimes"
"lithuania","lithuanian litas","ltl","440","&nbsp;","100 centu"
"luxembourg","euro","eur","978","&euro;","100 euro-cents"
"macau","pataca","mop","446","p","100 avos"
"macedonia the former yugoslav republic of","denar","mkd","807","mkd","100 deni"
"madagascar","malagasy franc","mgf","450","fmg","100 centimes"
"malawi","kwacha","mwk","454","mk","100 tambala"
"malaysia","malaysian ringgit","myr","458","rm","100 sen"
"maldives","rufiyaa","mvr","462","rf","100 lari"
"mali","cfa franc bceao","xof","952","cfaf","100 centimes"
"malta","maltese lira","mtl","470","lm","100 cents"
"marshall islands","us dollar","usd","840","$","100 cents"
"martinique","euro","eur","978","&euro;","100 euro-cents"
"mauritania","ouguiya","mro","478","um","5 khoums"
"mauritius","mauritius rupee","mur","480","mau rs","100 cents"
"mexico","mexican peso","mxn","484","mex$","100 centavos"
"micronesia","us dollar","usd","840","$","100 cents"
"moldova republic of","moldovan leu","mdl","498","&nbsp;","&nbsp;"
"monaco","euro","eur","978","&euro;","100 euro-cents"
"mongolia","tugrik","mnt","496","tug","100 mongos"
"montserrat","east caribbean dollar","xcd","951","ec$","100 cents"
"morocco","moroccan dirham","mad","504","dh","100 centimes"
"mozambique","metical","mzm","508","mt","100 centavos"
"myanmar","kyat","mmk","104","k","100 pyas"
"namibia","namibia dollar","nad","516","n$","100 cents"
"namibia (other)","rand","zar","710","r","100 cents"
"nauru","australian dollar","aud","36","a$","100 cents"
"nepal","nepalese rupee","npr","524","nrs","100 paise"
"netherlands","euro","eur","978","&euro;","100 euro-cents"
"netherlands antilles","antillian guilder","ang","532","ant.f. or naf.","100 cents"
"new caledonia","cfp franc","xpf","953","cfpf","100 centimes"
"new zealand","new zealand dollar","nzd","554","nz$","100 cents"
"nicaragua","cordoba oro","nio","558","c$","100 centavos"
"niger","cfa franc bceao","xof","952","cfaf","100 centimes"
"nigeria","naira","ngn","566","double-dashed n","100 kobo"
"niue","new zealand dollar","nzd","554","nz$","100 cents"
"norfolk island","australian dollar","aud","36","a$","100 cents"
"northern mariana islands","us dollar","usd","840","$","100 cents"
"norway","norwegian krone","nok","578","nkr","100 &oslash;re"
"oman","rial omani","omr","512","ro","1000 baizas"
