"name","date","previous names","capital","government","languages"
"aland islands","1921","&nbsp;","mariehamn","dependency (finland)","swedish"
"albania","1912","&nbsp;","tirane","republic","albanian"
"andorra","1278","&nbsp;","andorra la vella","republic","catalan"
"armenia","190bc1991","&nbsp;","yerevan","republic","armenianazeri"
"austria","1919","austria-hungary","vienna","federal republic","german"
"azerbaijan","1991","&nbsp;","baku","republic","azeri"
"belarus","1991","byelorussia","minsk","one party state","belarussian"
"belgium","1830","spanish netherlands","brussels","constitutional monarchy","frenchflemish"
"bosnia-hercegovina","1994","yugoslaviaaustria-hungaryottoman empire","sarajevo","republic","croatianserbian"
"bulgaria","681","&nbsp;","sofia","republic","bulgarianturkish"
"croatia","&nbsp;","yugoslaviaaustria-hungary","zagreb","republic","croatian"
"cyprus","1960","&nbsp;","nicosia","republic","greekturkish"
"czech republic","1993","czechoslovakiaaustia-hungary","prague","republic","czech"
"denmark","c950","&nbsp;","copenhagan","constitutional monarchy","danish"
"estonia","1918","&nbsp;","tallinn","republic","estonianrussian"
"faeroe islands","&nbsp;","&nbsp;","torshavn","dependency (denmark)","faeroes"
"finland","1917","&nbsp;","helsinki","republic","finnishswedish"
"france","486","frankish kingdomwest frankish kingdom","paris","republic","frenchprovencialbretonbasquegerman"
"georgia","c500bc","&nbsp;","tbilisi","republic","georgian"
"germany","1871","frankish kingdomeast frankish kingdomholy roman empire","berlin","federal republic","germansorbiandanish"
"gibraltar","1713","&nbsp;","gibraltar","colony (uk)","englishspanish"
"greece","c1000bc1830","&nbsp;","athens","republic","greekturkish"
"greenland","&nbsp;","&nbsp;","nuuk","dependency (denmark)","&nbsp;"
"guernsey","&nbsp;","&nbsp;","st peter port","dependency (uk)","&nbsp;"
"hungary","c1000","austria-hungary","budapest","republic","hungarian"
"iceland","930","&nbsp;","reykjavik","republic","icelandic"
"ireland","1921","&nbsp;","dublin","republic","englishgaelic"
"isle of man","&nbsp;","&nbsp;","douglas","dependency (uk)","&nbsp;"
"italy","1861","&nbsp;","rome","republic","italiansardinian"
"jan mayen","&nbsp;","&nbsp;","&nbsp;","colony (norway)","&nbsp;"
"jersey","&nbsp;","&nbsp;","st helier","dependency (uk)","&nbsp;"
"kosova","2008","serbia and montenegroyugoslavia","pristina","republic","albanianserbian"
"latvia","1920","&nbsp;","riga","republic","latvian"
"lichtenstein","&nbsp;","&nbsp;","vaduz","principality","german"
"lithuania","10091918","prussia","vilnius","republic","lithuanian"
"luxembourg","1815","&nbsp;","luxembourg city","dutchy","german"
"macedonia","&nbsp;","yugoslaviaottoman empire","skopje","republic","macedonian"
"malta","1964","&nbsp;","valletta","republic","malteseenglish"
"moldova","1991","moldaviabessarabia","chisinau","republic","moldavian"
"monaco","1215","&nbsp;","monaco","principality","french"
"montenegro","2006","serbia and montenegroyugoslaviaottoman empire","podgorica","republic","serbian"
"netherlands","1579","&nbsp;","amsterdam","constitutional monarchy","dutchfrisian"
"norway","c8001905","&nbsp;","oslo","constitutional monarchy","norwegian"
"poland","966","&nbsp;","warsaw","republic","polishkashubian"
"portugal","1143","&nbsp;","lisbon","republic","portuguese"
"romania","1878","wallachiamoldavia","bucharest","republic","romanianhungarian"
"russia","862","soviet union","moscow","federal republic","russianmany others"
"san marino","301","&nbsp;","san marino","republic","italian"
"serbia","2006","serbia and montenegroyugoslaviaottoman empire","belgrade","republic","serbian"
"slovakia","1993","czechoslovakiaaustia-hungary","bratislava","republic","slovakhungarian"
"slovenia","1990","yugoslaviaaustria-hungary","ljubljana","republic","slovene"
"spain","1492","castillearagonnavarre","madrid","constitutional monarchy","spanishcatalanbasquegalician"
"svalbard","&nbsp;","&nbsp;","longyearbyen","dependency (norway)","&nbsp;"
"sweden","c1050","&nbsp;","stockholm","constitutional monarchy","swedish"
"switzerland","1291","&nbsp;","bern","federal republic","germanfrenchitalianromansh"
"turkey","1923","ottoman empirebyzantine empire","ankara","republic","turkishkurdisharabic"
"ukraine","1991","soviet union","kiev","republic","ukrainianrussian"
"united kingdom","1801","englandscotlandwales","london","constitutional monarchy","englishwelshgaelic"
"vatican city","c3301927","papal states","vatican city","theocracy","italian"
