"state","town","institution","sponsored    programs","sponsored    programs","sponsored    programs","sponsored    programs"
"alabama","auburn","auburn university","mtf","mxc","wtf","wxc"
"alabama","birmingham","birmingham-southern    college","&nbsp;","mxc","&nbsp;","wxc"
"alabama","birmingham","university of    alabama at birmingham","&nbsp;","&nbsp;","wtf","wxc"
"alabama","homewood","samford university","mtf","mxc","wtf","wxc"
"alabama","huntsville","alabama a&amp;m    university","mtf","&nbsp;","wtf","wxc"
"alabama","jacksonville","jacksonville    state university","&nbsp;","mxc","wtf","wxc"
"alabama","mobile","university of south    alabama","mtf","mxc","wtf","wxc"
"alabama","montgomery","alabama state    university","mtf","mxc","wtf","wxc"
"alabama","troy","troy university","mtf","mxc","wtf","wxc"
"alabama","tuscaloosa","university of alabama    tuscaloosa","mtf","mxc","wtf","wxc"
"arizona","flagstaff","northern arizona    university","mtf","mxc","wtf","wxc"
"arizona","tempe","arizona state    university","mtf","mxc","wtf","wxc"
"arizona","tucson","university of    arizona","mtf","mxc","wtf","wxc"
"arkansas","fayetteville","university of arkansas    fayetteville","mtf","mxc","wtf","wxc"
"arkansas","jonesboro","arkansas state    university","mtf","mxc","wtf","wxc"
"arkansas","little rock","university    of arkansas little rock","mtf","mxc","wtf","wxc"
"arkansas","pine bluff","university of    arkansas pine bluff","mtf","&nbsp;","wtf","wxc"
"california","berkeley","university of california    berkeley","mtf","mxc","wtf","wxc"
"california","davis","university of    california davis","mtf","mxc","wtf","wxc"
"california","fresno","california state    university fresno","mtf","mxc","wtf","wxc"
"california","fullerton","california state    university fullerton","mtf","mxc","wtf","wxc"
"california","irvine","university of    california irvine","mtf","mxc","wtf","wxc"
"california","long beach","long beach state    university","mtf","mxc","wtf","wxc"
"california","los angeles","loyola marymount    university","mtf","mxc","wtf","wxc"
"california","los angeles","university of    california los angeles","mtf","mxc","wtf","wxc"
"california","los angeles","university of southern    california","mtf","&nbsp;","wtf","wxc"
"california","malibu","pepperdine    university","&nbsp;","mxc","wtf","wxc"
"california","moraga","st. mary's college of    california","&nbsp;","mxc","&nbsp;","wxc"
"california","northridge","california state university    northridge","mtf","mxc","wtf","wxc"
"california","stanford","stanford university","mtf","mxc","wtf","wxc"
"california","san luis obispo","california polytechnic state    university","mtf","mxc","wtf","wxc"
"california","riverside","university of    california riverside","mtf","mxc","wtf","wxc"
"california","sacramento","california state    university sacramento","mtf","mxc","wtf","wxc"
"california","san diego","san diego state university","&nbsp;","&nbsp;","wtf","wxc"
"california","san diego","university of san diego","&nbsp;","mxc","wtf","wxc"
"california","san francisco","university of san francisco","mtf","mxc","wtf","wxc"
"california","san jose","san jose state    university","&nbsp;","mxc","&nbsp;","wxc"
"california","santa barbara","university of    california santa barbara","mtf","mxc","wtf","wxc"
"california","santa clara","santa clara    university","mtf","mxc","wtf","wxc"
"california","stockton","university of the    pacific","&nbsp;","&nbsp;","&nbsp;","wxc"
"colorado","boulder","university of colorado    boulder","mtf","mxc","wtf","wxc"
"colorado","colorado springs","u.s. air force    academy","mtf","mxc","wtf","wxc"
"colorado","fort collins","colorado state university","mtf","mxc","wtf","wxc"
"colorado","greeley","university of northern    colorado","mtf","mxc","wtf","wxc"
"connecticut","fairfield","fairfield university","&nbsp;","mxc","&nbsp;","wxc"
"connecticut","fairfield","sacred    heart university","mtf","mxc","wtf","wxc"
"connecticut","hamden","quinnipiac    university","mtf","mxc","wtf","wxc"
"connecticut","hartford","university of    hartford","mtf","mxc","wtf","wxc"
"connecticut","new britain","central connecticut    state university","mtf","mxc","wtf","wxc"
"connecticut","new haven","yale    university","mtf","mxc","wtf","wxc"
"connecticut","storrs","university of    connecticut","mtf","mxc","wtf","wxc"
"delaware","dover","delaware state    university","mtf","mxc","wtf","wxc"
"delaware","newark","university of    delaware","mtf","mxc","wtf","wxc"
"district of columbia","washington","american university","mtf","mxc","wtf","wxc"
"district of columbia","washington","george    washington university","&nbsp;","mxc","&nbsp;","wxc"
"district of columbia","washington","georgetown university","mtf","mxc","wtf","wxc"
"district of columbia","washington","howard university","mtf","mxc","wtf","wxc"
"florida","boca raton","florida    atlantic university","&nbsp;","mxc","wtf","wxc"
"florida","daytona beach","bethune-cookman    university","mtf","mxc","wtf","wxc"
"florida","deland","stetson university","&nbsp;","mxc","&nbsp;","wxc"
"florida","gainesville","university of florida","mtf","mxc","wtf","wxc"
"florida","jacksonville","jacksonville university","&nbsp;","mxc","wtf","wxc"
"florida","miami","university of miami","mtf","mxc","wtf","wxc"
"florida","orlando","university of central    florida","&nbsp;","mxc","wtf","wxc"
"florida","tallahassee","florida a&amp;m    university","mtf","mxc","wtf","wxc"
"florida","tallahassee","florida state university","mtf","mxc","wtf","wxc"
"florida","tampa","university of south    florida","mtf","mxc","wtf","wxc"
"florida","university park","florida international    university","mtf","mxc","wtf","wxc"
"georgia","atlanta","georgia institute of    technology","mtf","mxc","wtf","wxc"
"georgia","atlanta","georgia state    university","mtf","mxc","wtf","wxc"
"georgia","atlanta","university of georgia","mtf","mxc","wtf","wxc"
"georgia","macon","mercer university","&nbsp;","mxc","&nbsp;","wxc"
"georgia","savannah","savannah state    university","mtf","mxc","wtf","wxc"
"georgia","statesboro","georgia    southern university","&nbsp;","&nbsp;","wtf","wxc"
"hawaii","manoa","university of hawaii    manoa","&nbsp;","&nbsp;","wtf","wxc"
"idaho","boise","boise state university","mtf","mxc","wtf","wxc"
"idaho","moscow","university of idaho","mtf","mxc","wtf","wxc"
"idaho","pocatello","idaho state university","mtf","mxc","wtf","wxc"
"illinois","carbondale","southern illinois    university at carbondale","mtf","mxc","wtf","wxc"
"illinois","champaign","university    of illinois champaign","mtf","mxc","wtf","wxc"
"illinois","charleston","eastern illinois    university","mtf","mxc","wtf","wxc"
"illinois","chicago","chicago state    university","mtf","mxc","wtf","wxc"
"illinois","chicago","depaul university","mtf","mxc","wtf","wxc"
"illinois","chicago","loyola university    (illinois)","mtf","mxc","wtf","wxc"
"illinois","chicago","university of illinois at    chicago","mtf","mxc","wtf","wxc"
"illinois","dekalb","northern illinois    university","&nbsp;","&nbsp;","wtf","wxc"
"illinois","evanston","northwestern university","&nbsp;","&nbsp;","&nbsp;","wxc"
"illinois","macomb","western illinois    university","mtf","mxc","wtf","wxc"
"illinois","normal","illinois state    university","mtf","mxc","wtf","wxc"
"illinois","notre dame","university of notre dame","mtf","mxc","wtf","wxc"
"illinois","peoria","bradley university","&nbsp;","mxc","wtf","wxc"
"illinois","valparaiso","valparaiso    university","mtf","mxc","wtf","wxc"
"indiana","bloomington","indiana    university bloomington","mtf","mxc","wtf","wxc"
"indiana","evansville","university of    evansville","&nbsp;","mxc","&nbsp;","wxc"
"indiana","fort wayne","indiana    university-purdue university fort wayne","&nbsp;","mxc","wtf","wxc"
"indiana","indianapolis","butler university","mtf","mxc","wtf","wxc"
"indiana","indianapolis","indiana university-purdue    university at indianapolis","&nbsp;","mxc","&nbsp;","wxc"
"indiana","muncie","ball state    university","&nbsp;","&nbsp;","wtf","wxc"
"indiana","terre haute","indiana state    university","mtf","mxc","wtf","wxc"
"indiana","west lafayette","purdue university","mtf","mxc","wtf","wxc"
"iowa","ames","iowa state university","mtf","mxc","wtf","wxc"
"iowa","cedar falls","university of northern    iowa","mtf","mxc","wtf","wxc"
"iowa","des moines","drake university","mtf","mxc","wtf","wxc"
"iowa","iowa city","university of iowa","mtf","mxc","wtf","wxc"
"kansas","lawrence","university of kansas","mtf","mxc","wtf","wxc"
"kansas","manhattan","kansas state    university","mtf","mxc","wtf","wxc"
"kansas","wichita","wichita state university","mtf","mxc","wtf","wxc"
"kentucky","bowling green","western kentucky    university","mtf","mxc","wtf","wxc"
"kentucky","lexington","university of kentucky","mtf","mxc","wtf","wxc"
"kentucky","louisville","university of louisville","mtf","mxc","wtf","wxc"
"kentucky","morehead","morehead state university","mtf","mxc","wtf","wxc"
"kentucky","murray","murray state university","&nbsp;","mxc","wtf","wxc"
"kentucky","richmond","eastern kentucky    university","mtf","mxc","wtf","wxc"
"louisiana","baton rouge","louisiana state    university","mtf","mxc","wtf","wxc"
"louisiana","baton rouge","southern university    baton rouge","mtf","mxc","wtf","wxc"
"louisiana","grambling","grambling state    university","mtf","mxc","wtf","wxc"
"louisiana","hammond","southeastern louisiana    university","mtf","mxc","wtf","wxc"
"louisiana","lafayette","university of louisiana    at lafayette","mtf","mxc","wtf","wxc"
