"Country","Language","Service hours*)","Phone number"
"United Kingdom","English","Mon-Sun 24-h service","0870 0130 794"
"United States and Canada","English","Mon-Sun 24-h service","866-295-2725"
"Asia/Pacific (Malaysia)","English","Mon-Sun 24-h service","+60 3 7712 4605"
"Australia","English","Mon-Sun 24-h service","1300 195 516"
"Belgium","French and Dutch","Mon-Fri 8-18","02 256 66 60"
"Denmark","Danish","Mon-Fri 8-17","70 20 41 51"
"Finland","Finnish and English","Mon-Fri 8-18","09 8862 5050"
"France","French","Mon-Fri 9-18","017 303 65 43"
"Germany","German","Mon-Fri 9-19","069 669 831 31"
"Hong Kong","Cantonese English","Mon-Fri 9-18","3071 4907"
"Italy","Italian","Mon-Fri 9-18","199 400 048"
"Netherlands","Dutch","Mon-Fri 9-18","020 5040608"
"Norway","Norwegian","Mon-Fri 8-17","22 419 890"
"Poland","Polish","Mon-Fri 9-18","22 356 1946"
"Sweden","Swedish","Mon-Fri 8-17","08 507 440 11"
"Switzerland","German French and Italian","Mon-Fri 9-18","084 220 40 80"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"All other countries","English","Mon-Fri 8-18 EET","+358 9 8862 5050"
