"country","capital","population"
"taiwan","taipei","22370460"
"tajikistan","dushanbe","6578681"
"tanzania","dar es salaam","36232072"
"thailand","bangkok","61797752"
"the bahamas","nassau","297852"
"the gambia","banjul","1411205"
"togo","lome","5153088"
"tokelau","NULL","1445"
"tonga","nuku'alofa","104227"
"trinidad and tobago","port-of-spain","1169682"
"tunisia","tunis","9705102"
"turkey","ankara","66493968"
"turkmenistan","ashgabat","4603244"
"turks and caicos islands","cockburn town","18122"
"tuvalu","funafuti","10991"
