"api","description","category","updated"
"140 proof","twitter advertising service","advertising","2011-01-12"
"adbrite","online ad management service","advertising","2012-01-06"
"adgooroo","keyword search marketing platform","advertising","2010-01-11"
"adigami web analytics","web advertising analytics","advertising","2011-09-16"
"adjuggler","ad management service","advertising","2011-08-29"
"adknowledge","online advertising and marketing service","advertising","2011-11-09"
"admob","mobile advertising service","advertising","2011-01-11"
"adspeed","online advertising management services","advertising","2008-10-18"
"adzerk","online ad server service","advertising","2011-12-11"
"ask sponsored listings","search engine marketing service","advertising","2011-02-09"
"aweber email marketing","email marketing service","advertising","2010-12-01"
"baidu","online marketing service","advertising","2011-11-11"
"bigtribe","location based advertising","advertising","2007-04-15"
"blam ads","content locking advertising service","advertising","2012-01-23"
"bluevia advertising","mobile advertising platform","advertising","2011-01-06"
"burstly","monetization platform for app developers","advertising","2011-09-20"
"clickaider","ppc ad tracking service","advertising","2009-12-04"
"crowdtwist","customer loyalty platform","advertising","2011-09-01"
"cruvee partner link","wine database update system","advertising","2010-11-30"
"crystal semantics content categorization","content categorization services","advertising","2011-07-05"
"directtrack","affiliate marketing software platform","advertising","2011-11-01"
"dotmailer","online marketing service integration","advertising","2011-11-08"
"doubleclick","online display ad service","advertising","2010-12-08"
"doubleclick for publishers","advertising management service","advertising","2010-12-08"
"fabulous","domain revenue generation service","advertising","2011-07-26"
"facebook ads","advertising management service","advertising","2010-10-13"
"fanbridge","customer engagement and reward service","advertising","2011-09-13"
"fliptop","social media profile service","advertising","2011-11-09"
"flite advertising","cloud based advertising platform","advertising","2011-05-20"
"gaggleamp","social media advertising service","advertising","2011-10-04"
"georeach neighborhood","location based adversting service","advertising","2010-01-14"
"geotoko","location based campaign creation and search","advertising","2010-11-15"
"getmobile","mobile advertising network","advertising","2008-12-14"
"google adsense","advertising management","advertising","2006-06-04"
"google adwords","search advertising","advertising","2006-05-14"
"google affiliate network","affiliate marketing network","advertising","2011-12-16"
"inwise","newsletter & email marketing service","advertising","2011-11-08"
"izea sponsored tweets","independent twitter advertising platform","advertising","2010-12-20"
"jagtag","mobile marketing service","advertising","2011-07-05"
"knotice","digital direct marketing service","advertising","2011-08-15"
"lat49","geo-targeted advertising for online maps","advertising","2008-01-05"
"lipfeed.com","multimedia platform","advertising","2011-02-22"
"livedesigner","promotional clothing and product design service","advertising","2012-01-20"
"looksmart adcenter","advertising campaign management","advertising","2011-07-05"
"lotvantage","auto listing service","advertising","2011-11-19"
"mblast","media and marketing tools","advertising","2011-10-11"
"mdotm","mobile advertising network","advertising","2012-01-31"
"mediaequals","advertising media buying and selling service","advertising","2011-08-09"
"medialets medialytics","mobile application analytics service","advertising","2010-03-26"
"mediamind","advertising campaign management","advertising","2011-01-12"
"microsoft adcenter","online advertisting services","advertising","2006-09-25"
"miva","cost per click advertising network","advertising","2010-11-09"
"mogreet","mobile marketing service","advertising","2011-09-13"
"myads","self-service advertising platform for the rubicon project","advertising","2011-01-13"
"mygpsid","geolocation based ads","advertising","2008-11-25"
"openx","online advertising management services","advertising","2008-07-18"
"pardot marketing automation","website analytics and marketing","advertising","2011-09-13"
"prosperent","affiliate marketing ad platform","advertising","2011-07-12"
"proximic","contextual advertising service","advertising","2009-03-23"
"pubmatic","advertising monetization service","advertising","2011-07-12"
"right media exchange","advertising management","advertising","2007-12-31"
"rvolve hyperlocal ads","hyperlocal advertising platform","advertising","2011-02-08"
"sape","link monetization service","advertising","2011-08-29"
"searchforecast keywords","pay per click advertising keyword search and analysis","advertising","2010-05-06"
"semantic contextual advertising","contextual ad matching","advertising","2010-11-10"
"shiny ads","self service ad platform","advertising","2011-02-09"
"sklik","marketing and advertisement service","advertising","2010-12-29"
"snappytv","real-time video and social media advertising platform","advertising","2012-01-25"
"social video bytes","social application-based advertising network","advertising","2010-03-29"
"spotzot","deal targeting and loyalty program service","advertising","2011-11-21"
"tap.me","in game advertising service","advertising","2012-01-24"
"thinknear","local marketing and advertising service","advertising","2011-08-30"
"tubemogul","video advertising and marketing service","advertising","2012-01-26"
"ultracart affiliate management","affiliate marketing management service","advertising","2012-01-24"
"urltrends","link tracking and search optimization","advertising","2005-09-08"
"viglink","viglink affiliation service","advertising","2011-05-17"
"wordtracker","search engine optimization services","advertising","2006-02-14"
"xad","mobile advertising service","advertising","2011-12-13"
"yahoo ads","online ad management","advertising","2006-04-25"
"yahoo search marketing","search advertising platform","advertising","2007-06-04"
"yandex direct","contextual advertising service","advertising","2011-02-22"
"zanox","internet monetization services","advertising","2008-11-15"
"zedo","online advertising service","advertising","2011-11-29"
"answerbag","questions and answers service","answers","2007-02-15"
"ask scipy","collaborative question and answer software","answers","2011-06-30"
"ask500people","crowdsource polling service","answers","2011-12-23"
"chacha","sms question and answer service","answers","2010-02-24"
"formspring","q&a social network","answers","2011-09-02"
"hiogi","questions and answers service for mobile","answers","2008-08-09"
"hunch","questions and answers service","answers","2009-06-18"
"loquest","question and answer service by location","answers","2011-09-08"
"pollbob","poll and survey service","answers","2011-10-25"
"qhub","questions and answers service","answers","2010-03-26"
"questsin","thesaurus and answers lookup services","answers","2008-12-27"
"quetter","social q&a website","answers","2011-06-20"
"quora","question and answer site","answers","2011-01-10"
"stack overflow","programming question and answer site","answers","2010-06-14"
"urtak","question and answer tool","answers","2011-10-25"
"yahoo answers","community driven reference service","answers","2006-08-16"
"blogcatalog","blog directory and community","blog search","2009-10-02"
"blogwise","blog and feed search service","blog search","2005-11-19"
"feedmap","blog geo-coding","blog search","2006-02-15"
"myfeedz","blog services","blog search","2008-02-09"
"pubsub","blog and feed search","blog search","2005-09-04"
"spinn3r","blog search index service","blog search","2007-12-13"
"splogspot","database of spam blogs","blog search","2006-01-24"
"tailrank","blog search and news aggregation service","blog search","2006-01-22"
"technorati","blog search services","blog search","2006-02-15"
"adocu","single word microblogging service","blogging","2010-12-21"
"after the deadline","spelling style and grammar checking","blogging","2009-03-14"
"akismet","blog spam prevention service","blogging","2006-09-27"
"aol journals","blogging platform","blogging","2007-10-02"
"backtype","social site comment repository services","blogging","2008-10-12"
"bentio","microblogging service","blogging","2011-02-08"
"bitacoras.com","spanish social blog network","blogging","2010-03-24"
"blake.lt","lithuanian microblogging service","blogging","2010-12-15"
"blipea","hispanic micro-blogging service","blogging","2011-08-04"
"blogger","blogging services","blogging","2006-02-08"
"blogpingr","blog ping service","blogging","2011-07-07"
"bloxoo","blogging platform","blogging","2011-07-07"
"bordom rpc (brax)","crowd-sourced strange news service","blogging","2011-12-05"
"cirip","microblogging service","blogging","2009-04-27"
"cnfol","chinese microblogging service","blogging","2010-12-21"
"daum today","micro blogging service","blogging","2011-07-12"
"disqus","blog comments management","blogging","2008-01-27"
"eklablog","french blogging service","blogging","2011-12-19"
"f my life","social blogging service","blogging","2009-03-05"
"feedblitz","blogs by email service","blogging","2006-12-26"
"feedburner","blog promotion tracking service","blogging","2006-02-15"
"freewebs","web publishing platform","blogging","2007-09-27"
"google reader subscriber statistics","rss feed statistics","blogging","2010-07-19"
"hubspot blog","hubspot blog management service","blogging","2011-03-24"
"identi.ca","microblogging service","blogging","2008-09-21"
"izearanks","blog ranking service","blogging","2010-10-18"
"livejournal","blogging software","blogging","2005-09-06"
"metaweblog","blog editing service","blogging","2011-12-19"
"my opera","opera web browser community site","blogging","2011-06-14"
"netalive","blogging service","blogging","2011-04-01"
"nitle blog census","blogging platform information service","blogging","2011-11-30"
"onsugar","blogging service","blogging","2011-01-25"
"performancing","blog management","blogging","2006-06-19"
"plurk","microblogging service","blogging","2010-12-14"
"poodz","microblogging service","blogging","2007-12-11"
"postmapper","mapping service for blog posts","blogging","2008-02-10"
"publr","blogging service","blogging","2011-04-23"
"qaiku","micro-blogging and social network service","blogging","2011-07-19"
"scribe","seo improvement service","blogging","2011-07-12"
"skyrock","blog management tool","blogging","2011-02-08"
"teidu mikroblog","micro blogging service","blogging","2011-04-01"
"tweet press","long tweet blogging service","blogging","2011-06-13"
"tweetshrink","tweet shortening service","blogging","2009-05-15"
"twick.it","social explanation engine","blogging","2011-03-24"
"typepad","blog management","blogging","2005-09-04"
"wassr","twitter for secondlife microblogging service","blogging","2008-12-21"
"weblogs","blog ping service","blogging","2006-06-23"
"windows live spaces","blog services","blogging","2006-01-19"
"wordpress.com","blogging platform","blogging","2011-08-30"
"wpapi.org","blog statistics service for wordpress blogs","blogging","2009-11-29"
"yahoo meme","microblogging platform","blogging","2010-01-14"
"yahoo status","yahoo account status","blogging","2011-07-18"
"yandex ya.ru","blogging platform","blogging","2011-02-28"
"zemanta","blog authoring extension services","blogging","2008-07-20"
"bibsonomy","social bookmarking","bookmarks","2007-12-09"
"blogmarks","social bookmarking","bookmarks","2005-10-30"
"blue dot","content sharing community","bookmarks","2006-09-18"
"bo.lt","webpage sharing service","bookmarks","2011-10-02"
"cogenz","social bookmarking service","bookmarks","2007-09-20"
"connotea","bookmark and reference sharing for researchers","bookmarks","2007-10-20"
"copyto","clever bookmarking service","bookmarks","2011-04-11"
"del.icio.us","social bookmarking","bookmarks","2005-10-30"
"diigo","research bookmarking service","bookmarks","2009-04-03"
"easybib","bibliography citation service","bookmarks","2011-07-11"
"ec navi buzzurl","bookmarking service","bookmarks","2011-08-23"
"faves.com","social bookmarking","bookmarks","2011-08-29"
"gimme bar","bookmarking service","bookmarks","2011-12-13"
"groupme","social bookmarking","bookmarks","2007-12-25"
"hbookmark","real-time semantic bookmarking via twitter","bookmarks","2010-05-13"
"historious","website bookmarking tool","bookmarks","2010-12-20"
"instapaper","bookmark long web pages","bookmarks","2010-12-29"
"jots","social bookmarking","bookmarks","2005-12-13"
"linkagogo","social bookmarking service","bookmarks","2006-03-09"
"linqto.me","link bookmarking service","bookmarks","2011-04-23"
"ma.gnolia","social bookmarking service","bookmarks","2006-05-29"
"memonic","web content notes and bookmark organizer","bookmarks","2011-09-13"
"onlywire","social bookmarklet service","bookmarks","2006-03-01"
"orange personal favourites","website bookmarking service","bookmarks","2011-02-09"
"pinboard","social bookmarking service","bookmarks","2010-12-17"
"radbox","video bookmarking and saving service","bookmarks","2011-08-29"
"read it later","save pages to read later","bookmarks","2009-09-09"
"rrove","social bookmarking for places create & share maps","bookmarks","2006-02-23"
"scribble","link manager","bookmarks","2005-09-07"
"sendtab","share links between browsers","bookmarks","2011-04-07"
"shadows","social bookmarking and community","bookmarks","2005-11-19"
"simpy","social bookmarking","bookmarks","2005-10-30"
"sni.ps","bookmarking and attribution service","bookmarks","2010-12-15"
"trunk.ly","bookmarking service based on social link sharing","bookmarks","2011-03-21"
"zootool","online bookmarking and collecting service","bookmarks","2011-02-03"
"zotero","research citation organization service","bookmarks","2010-12-29"
"zvtra.ru","bookmarking service","bookmarks","2011-04-01"
"30 boxes","calendar service","calendar","2006-02-24"
"aol calendar","online calendar service","calendar","2010-12-14"
"calgoo","online calendaring service","calendar","2009-03-14"
"clicrdv","calendar and appointment scheduling software","calendar","2011-04-14"
"daum calendar","calendar services","calendar","2011-07-12"
"google calendar","calendar service","calendar","2006-04-20"
"lifepod open","online calendar service","calendar","2010-10-28"
"makeplans","online scheduling service","calendar","2011-11-29"
"mindbody","universal business management solutions","calendar","2011-04-26"
"orange personal calendar","calendar service","calendar","2008-03-16"
"recollect","garbage and recycling collection reminder service","calendar","2011-08-01"
"setster","appointment scheduling widget","calendar","2010-02-18"
"spongecell","online calendar service","calendar","2006-08-25"
"teliasonera calendar","calendar creation tool","calendar","2010-11-30"
"vodafone address book","access contacts and calendar items on mobile device","calendar","2011-02-10"
"activa live chat","live chat platform","chat","2011-08-16"
"aol instant messenger","instant messaging chat service","chat","2006-03-30"
"aol presence","online presence service","chat","2006-03-30"
"boldchat","online chatroom services","chat","2008-03-16"
"botplatform","development platform for im robots","chat","2010-11-15"
"campfire","business messaging service","chat","2010-07-29"
"chatterous","group chat service","chat","2010-12-14"
"convore","real-time group chat application","chat","2011-06-14"
"envolve","web chat application","chat","2011-08-12"
