"index","index","index","index","index"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"&nbsp;","$0-50k","&nbsp;","&nbsp;","79"
"&nbsp;","$50-100k","&nbsp;","&nbsp;","133"
"&nbsp;","$100-150k","&nbsp;","&nbsp;","113"
"&nbsp;","$150k+","&nbsp;","&nbsp;","69"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"&nbsp;","No College","&nbsp;","&nbsp;","110"
"&nbsp;","College","&nbsp;","&nbsp;","109"
"&nbsp;","Grad School","&nbsp;","&nbsp;","45"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"&nbsp;","Caucasian","&nbsp;","&nbsp;","128"
"&nbsp;","African American","&nbsp;","&nbsp;","5"
"&nbsp;","Asian","&nbsp;","&nbsp;","6"
"&nbsp;","Hispanic","&nbsp;","&nbsp;","8"
"&nbsp;","Other","&nbsp;","&nbsp;","108"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"NULL","NULL","internet average","internet average","internet average"
