"species","breeding status","sp","su","f","w","habitat"
"red-throated loon","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","o"
"pacific loon","&nbsp;","&nbsp;","&nbsp;","&nbsp;","r","o"
"common loon","&nbsp;","c","r","c","f","o"
"pied-billed grebe","pr","f","f","f","c","o"
"horned grebe","&nbsp;","f","&nbsp;","f","f","o"
"red-necked grebe","&nbsp;","&nbsp;","x","&nbsp;","x","o"
"eared grebe","po","f","f","f","c","om"
"western grebe","co","c","c","c","c","o"
"clark's grebe","co","u","f","f","r","o"
"american white pelican","&nbsp;","u","c","f","&nbsp;","o"
"double-crested cormorant","co","u","f","u","r","o"
"great blue heron","co","c","c","c","c","smg"
"great egret","&nbsp;","r","r","f","r","sm"
"snowy egret","&nbsp;","&nbsp;","r","r","&nbsp;","s"
"cattle egret","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;","s"
"green heron","po","&nbsp;","x","&nbsp;","&nbsp;","s"
"black-crowned night-heron","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;","s"
"white-faced ibis","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;","s"
"tundra swan","&nbsp;","c","x","c","c","som"
"trumpeter swan","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","som"
"greater white-fronted goose","&nbsp;","r","x","r","r","gsom"
"snow goose","&nbsp;","r","&nbsp;","r","r","gsom"
"ross' goose","&nbsp;","x","&nbsp;","x","x","gsom"
"canada goose","co","c","c","c","c","gsom"
"wood duck","co","u","f","u","x","so"
"green-winged teal","po","f","r","f","f","osm"
"mallard","co","c","c","c","c","osm"
"northern pintail","po","c","f","c","f","os"
"blue-winged teal","&nbsp;","r","&nbsp;","r","&nbsp;","os"
"cinnamon teal","co","f","f","f","x","osm"
"northern shoveler","&nbsp;","f","u","f","f","os"
"gadwall","co","f","f","f","c","osm"
"eurasian wigeon","&nbsp;","&nbsp;","&nbsp;","r","x","os"
"american wigeon","&nbsp;","f","r","f","c","os"
"canvasback","&nbsp;","f","&nbsp;","f","f","os"
"redhead","po","f","r","f","c","os"
"ring-necked duck","co","f","u","f","f","osm"
"greater scaup","&nbsp;","&nbsp;","&nbsp;","r","f","os"
"lesser scaup","po","u","r","u","c","osm"
"oldsquaw","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","o"
"surf scoter","&nbsp;","&nbsp;","&nbsp;","x","x","&nbsp;"
"white-winged scoter","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","o"
"common goldeneye","&nbsp;","u","&nbsp;","u","c","os"
"barrow's goldeneye","&nbsp;","&nbsp;","&nbsp;","r","r","os"
"bufflehead","co","f","u","f","c","omf"
"hooded merganser","&nbsp;","u","&nbsp;","u","f","os"
"common merganser","co","f","f","c","c","of"
"red-breasted merganser","&nbsp;","&nbsp;","&nbsp;","x","r","o"
"ruddy duck","po","u","u","f","c","om"
"turkey vulture","pr","u","f","f","&nbsp;","ab"
"osprey","co","u","c","u","x","of"
"bald eagle","co","u","u","f","f","of"
"northern harrier","&nbsp;","r","r","r","u","gm"
"sharp-shinned hawk","&nbsp;","r","&nbsp;","r","u","fr"
"cooper's hawk","pr","u","r","u","u","rf"
"northern goshawk","co","r","r","r","r","f"
"red-shouldered hawk","&nbsp;","x","x","r","r","r"
"red-tailed hawk","co","f","f","f","f","frg"
"rough-legged hawk","&nbsp;","&nbsp;","&nbsp;","&nbsp;","u","gr"
"golden eagle","po","r","r","r","x","fg"
"american kestrel","pr","r","r","r","&nbsp;","grfc"
"merlin","&nbsp;","r","x","r","x","fgs"
"peregrine falcon","&nbsp;","&nbsp;","&nbsp;","x","x","sg"
"prairie falcon","&nbsp;","r","&nbsp;","r","r","gs"
"ring-necked pheasant","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","g"
"blue grouse","pr","u","u","u","r","fgc"
"california quail","co","u","u","u","u","crf"
"mountain quail","co","u","u","u","u","fcr"
"virginia rail","&nbsp;","&nbsp;","r","&nbsp;","x","m"
"sora","po","&nbsp;","r","&nbsp;","&nbsp;","m"
"american coot","co","c","c","c","c","om"
"sandhill crane","co","u","u","u","&nbsp;","gm"
"black-bellied plover","&nbsp;","x","x","&nbsp;","&nbsp;","s"
"snowy plover","&nbsp;","&nbsp;","x","x","&nbsp;","s"
"semipalmated plover","&nbsp;","r","&nbsp;","r","&nbsp;","s"
"killdeer","co","c","c","c","c","sgmd"
