"birth place","label","Geburtsort","Geburtsdatum"
"http://dbpedia.org/resource/Vilnius","Gediminas Juzeliūnas","http://dbpedia.org/resource/Vilnius","1958-07-14"
"","劇団イヌカレー","",""
"","George Orange","http://dbpedia.org/resource/Yorkshire",""
"New York","George Thompson Ruby","http://dbpedia.org/resource/New_York",""
"","Georgios Stephanou","http://dbpedia.org/resource/Himarë","1824"
"","Gerald Jones","",""
"http://dbpedia.org/resource/Mexico","Gerardo Jiménez Sánchez","http://dbpedia.org/resource/Mexico",""
"http://dbpedia.org/resource/Belgium","Gert Verhulst","http://dbpedia.org/resource/Belgium","1968-01-04"
"","Gessica Rostellato","",""
"","Ghostshrimp","","1980"
"","Gianni Pezzani","","1951-06-18"
"http://dbpedia.org/resource/Montana","Gideon Kimbrell","http://dbpedia.org/resource/Montana","1984"
"http://dbpedia.org/resource/Santiago","Gigia Talarico","http://dbpedia.org/resource/Santiago",""
