"label","Wikipage page ID"
"Maia Institute","46649383"
"Malacca Butterfly and Reptile Sanctuary","46896457"
"Malacca Crocodile Farm","46779086"
"Malacca Public Library","46842867"
"Mall of Qatar","46451332"
"Malta Aviation Museum","48013961"
"Manika Block","47825135"
"Mansfield Lahm Air National Guard Base",""
"Catedral de los Santos Pedro y Cecilia",""
"Terminal de Ómnibus Mariano Moreno (Rosario)","46957497"
"Marienkirche (Wolfenbüttel)","46684405"
"Mars Hope","46635411"
"Marymoor Velodrome","46438753"
"Massif des Trois-Évêchés","46219477"
"McMaster University Library",""
"كنيسة ميلوسا","45677111"
"Festung Meløyvær","46932097"
"Memphis Music Hall of Fame","47665795"
"Metallurgical & Engineering Consultant Ltd Sail Stadium",""
"Metropolitanstadt Bari","46671439"
