"label","Geburtsdatum"
"Gareth Allen","1988-09-09"
"Antony Bolsover","1972-11-03"
"Barry West","1958-10-24"
"David Greaves","1946-09-01"
"Eddie Sinclair","1937-05-05"
"Fred Lawrence (snooker player)",""
"Fred Van Rensburg",""
"George Scott (snooker player)","1929-09-16"
"Hugh Abernethy","1967-12-23"
"Ian Anderson (snooker player)","1946-04-02"
"Jack Fitzmaurice",""
"Jason Prince","1970-06-17"
"Jeff Cundy","1969-03-01"
"John Bear (snooker player)","1944-08-08"
"Jonathan Birch","1968-02-15"
"Karl Broughton","1971-06-26"
"Karl Payne","1970-02-08"
"Les Dodd","1954-02-11"
"Marcel Gauvreau","1955-01-09"
"Marcus Owen",""
