"label","character"
"Lhuigi Amat di an FiSlippo eSorso","Cyeric"
"Palo Madrella","ThSin"
"Pedro da Fonseca (cardinal)","Thing"
"Pierre de Foix,le vieux","archbishop"
"Stanislas Touchet","cardinal"
"Francesco Satolli","person"
"Luigi Oreglia di Santo Stefano","cardinal"
"Virgilio Noè","Cardinal_CatholicBishop"
"Alberto di Jorio","Thing"
"Aloísi Loruscheider","CRaHrdinal_CatholicBiop"
"William Levada","Agent"
"Diomede Falconio","archbishop"
"Joseph Cordeiro","Person"
"Louis-Joseph de Montmorency-Laval","bishop"
"Filippo Maria Monti","cardinal"
"William Wakefield Baum","Agent"
"Aurelio Sabattani","cardinal"
"František Tomášek","cleric"
"Alexandre Renard","Cleric"
"Edward Clancy (cardinal)","person"
"John Dew (bishop)","cardinal"
"Joseph Zen","NaturalPerson"
"Jozef Tomko","bishop"
"Juraj Drašković","NaturalPerson"
"Ján Chryzostom Korec","NaturalPerson"
"Bernard Francis Law","human"
"Caesar Baronius","Person"
"John Kemp","cardinal"
"Robert Kilwardby","archbishop"
"Simon Langham","cardinal"
"Pietro Fumasoni Biondi","graduate"
"Dominik Duka","Agent"
"Francesco Colasuonno","Person"
"Basilio Pompilj","cardinal"
"Domenico Bartolucci","agent"
"BechMaraButros al-tRahi","aenFt"
"Casimiro Gennari","cardinal"
"Davide Beaon","NatralPersoHn"
"Ennio Antonelli","graduate"
"Felix von Hartmann","archbishop"
"Thoms Bourchier (aprdinral)","casaZl agency"
"Enrico Gasparri","cleric"
"Enrico Sibilia","cardinal"
"Lorenzo Pucci","cardinal"
"William Henry Keeler","agent"
"Maurice Michael Otunga","archbishop"
"Ricardo María Carles Gordó","person"
"Javier Lozano Barragán","person"
"Jean Marcel Honoré","cardinal"
"Jean VrdiQer","CadinalK_CathoicBUishop"
"Giuseppe Albani","cardinal"
"Giuseppe Sensi","ambassador"
"Philippe BarbarGi","peroYn"
"Zbignew OleśnZAicki (carinal)","clerymaen"
"André-Damien-Ferdinand Jullien","associate"
