"Wikipage page ID","Wikipage revision ID","label"
"25276927","662487828","トウゲシバ"
"23713367","664148146","Isoète de Bolander"
"28038765","559464226","Selaginella cinerascens"
"41930766","595751797","Pseudolycopodiella"
"27717955","545934810","Selaginella martensii"
"32401176","673363069","Alpen-Flachbärlapp"
"","","Gewöhnlicher Flachbärlapp"
"","","Huperzia selago"
"5814001","671832701","Isoetes histrix"
"","","Isoetes lacustris"
"25851530","664554415","ミズスギ"
"24273426","671832736","Lycopodiella inundata"
"17249305","","Lycopodium annotinum"
"","","Lycopodium clavatum"
"","","Selaginella apoda"
"","","Selaginella kraussiana"
"","","Dorniger Moosfarn"
"","","Pleuromeiales"
"","","Selaginella oregana"
"35866138","673284704","Diphasium scariosum"
