"label","Sterbedatum","Geburtsdatum"
"Heinrich Michael Neustetter","1958-02-13","1874-06-14"
"Paolo Luigioni","",""
"Auguste Eugène Méquignon","1958","1875-02-21"
"Alexander John Nicholson","",""
"Carlo Emery","",""
"Charles Alluaud","",""
"Giuseppe Sigismondo Ala Ponzone","",""
"Jadwiga Złotorzycka","",""
"Karl Maria Heller","",""
"Alexander Kirilow Drenowski","",""
"Flaminio Baudi di Selve","",""
"Niall McNeill","",""
"Takashi Shirōzu","",""
"岩崎灌園","",""
"Longinos Navás Ferrer","",""
"Theodor Kirsch","",""
"John Nevill Eliot","2003",""
"Abel Dufrane","",""
"Arnold Lucien Montandon","",""
"Yngve Sjöstedt","",""
