"Wikipage revision ID","Wikipage page ID","Link from a Wikipage to an external page","label"
"671938918","46386048","http://www.abunayyanholding.com/en/","Abunayyan Holding"
"672850617","47315918","http://www.acadine.com/","Acadine Technologies"
"681153386","47773412","http://www.acceltree.com/","Acceltree Software"
"653357237","46215145","http://www.accumuli.com/","Accumuli Security"
"661212448","46625395","http://www.acodez.in/","Acodez"
"683473443","47819663","http://www.adpushup.com/","AdPushup"
"669211080","45664794","http://www.adamsresources.com","Adams Resources & Energy"
"676890951","45638334","http://www.adgreetz.com","Adgreetz"
"","","","Advanced Business Solutions"
"683544953","47986784","","Aero Nord"
"668332594","46807139","http://aerochute.com.au","Aerochute International"
"","46239081","","After Platinum Records"
"668993985","46755801","http://www.agentsmutual.co.uk/","Agents' Mutual Ltd"
"681361519","47312382","http://www.agnona.com/it/","Agnona"
"","47686688","","Ahange Arya"
"","","","Airbitz"
"675993336","46775621","http://www.airstreamjets.com/","Airstream Jets"
"680856655","46811928","","Al Habtoor Motors LLC"
"682824066","47661355","http://almadinatakaful.com/","Al Madina Takaful"
"681755031","47745689","http://alshamsiholdings.com/index.php?","Al Shamsi Holdings"
